timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-12,5.5500,5.5500,5.1900,5.2200,5.2200,915702,0.0000
2019-04-05,6.0500,6.1500,5.5100,5.5700,5.5700,1374953,0.0000
2019-03-29,5.7200,6.1300,5.5700,6.0100,6.0100,1064359,0.0000
2019-03-22,6.0000,6.0200,5.5100,5.7300,5.7300,1231906,0.0000
2019-03-15,5.7300,6.0400,5.3300,6.0000,6.0000,2814374,0.0000
2019-03-08,5.4000,5.7400,5.3500,5.6600,5.6600,1421946,0.0000
2019-03-01,4.8400,5.5400,4.6400,5.4600,5.4600,1361872,0.0000
2019-02-22,4.7500,4.8400,4.5400,4.8100,4.8100,416848,0.0000
2019-02-15,4.4900,4.8800,4.4700,4.7800,4.7800,627663,0.0000
2019-02-08,4.3500,4.7400,4.2700,4.4600,4.4600,377703,0.0000
2019-02-01,4.2500,4.4900,4.1700,4.3700,4.3700,353513,0.0000
2019-01-25,4.2500,4.4700,4.2200,4.2500,4.2500,424925,0.0000
2019-01-18,3.9100,4.5073,3.9100,4.2900,4.2900,831208,0.0000
2019-01-11,3.7300,4.0200,3.6100,3.9400,3.9400,435624,0.0000
2019-01-04,3.7500,3.8500,3.5110,3.7300,3.7300,418943,0.0000
2018-12-28,3.6600,3.8400,3.5300,3.7600,3.7600,453344,0.0000
2018-12-21,4.1600,4.2016,3.6600,3.7000,3.7000,977296,0.0000
2018-12-14,3.8200,4.6500,3.7900,4.1500,4.1500,1135295,0.0000
2018-12-07,4.2000,4.2400,3.8000,3.8200,3.8200,444152,0.0000
2018-11-30,4.4500,4.4500,4.0900,4.1700,4.1700,483206,0.0000
2018-11-23,4.3800,4.4800,4.2500,4.4300,4.4300,337545,0.0000
2018-11-16,4.6300,4.6300,4.3500,4.3800,4.3800,468552,0.0000
2018-11-09,4.5300,4.8500,4.4299,4.6300,4.6300,784799,0.0000
2018-11-02,4.5500,4.8900,4.4000,4.5300,4.5300,709199,0.0000
2018-10-26,4.5900,4.7600,4.4100,4.5600,4.5600,402196,0.0000
2018-10-19,4.4800,4.8000,4.4800,4.5700,4.5700,600630,0.0000
2018-10-12,4.5500,4.6650,4.4100,4.4900,4.4900,625427,0.0000
2018-10-05,4.5200,4.7000,4.4450,4.5400,4.5400,497886,0.0000
2018-09-28,4.4500,4.7500,4.4500,4.5000,4.5000,932030,0.0000
2018-09-21,4.4250,4.6000,4.2500,4.4500,4.4500,969677,0.0000
2018-09-14,4.4500,4.5000,4.3500,4.4000,4.4000,509504,0.0000
2018-09-07,4.5000,4.5500,4.3500,4.4000,4.4000,485610,0.0000
2018-08-31,4.6500,4.7000,4.3500,4.4750,4.4750,868067,0.0000
2018-08-24,4.6000,4.7000,4.5500,4.6500,4.6500,555344,0.0000
2018-08-17,4.5000,4.7000,4.4500,4.5500,4.5500,460555,0.0000
2018-08-10,4.5500,4.7500,4.4250,4.5000,4.5000,396144,0.0000
2018-08-03,4.6000,4.7250,4.4000,4.6000,4.6000,358945,0.0000
2018-07-27,4.8000,4.8500,4.5740,4.6000,4.6000,416576,0.0000
2018-07-20,4.7000,4.8500,4.6500,4.7500,4.7500,346191,0.0000
2018-07-13,4.7500,4.9500,4.7000,4.7000,4.7000,543823,0.0000
2018-07-06,4.6000,4.8000,4.5750,4.7750,4.7750,465269,0.0000
2018-06-29,4.7000,4.7000,4.3250,4.6000,4.6000,568388,0.0000
2018-06-22,4.7500,4.8500,4.6500,4.7000,4.7000,1364077,0.0000
2018-06-15,4.7500,4.8500,4.6000,4.7500,4.7500,717653,0.0000
2018-06-08,4.6000,4.9000,4.4500,4.7000,4.7000,804146,0.0000
2018-06-01,4.5500,4.6500,4.4750,4.5500,4.5500,345984,0.0000
2018-05-25,4.6500,4.7000,4.3500,4.5500,4.5500,478102,0.0000
2018-05-18,4.5500,4.7000,4.4500,4.6500,4.6500,525710,0.0000
2018-05-11,4.2500,4.5500,4.2000,4.5000,4.5000,470822,0.0000
2018-05-04,4.4000,4.5500,4.2000,4.2500,4.2500,513374,0.0000
2018-04-27,4.5500,4.6000,4.3500,4.4000,4.4000,310006,0.0000
2018-04-20,4.7500,4.8750,4.5000,4.6000,4.6000,395521,0.0000
2018-04-13,4.7000,4.9500,4.6500,4.7000,4.7000,471735,0.0000
2018-04-06,4.6000,4.8500,4.4500,4.6500,4.6500,467124,0.0000
2018-03-29,4.5500,4.8000,4.5000,4.6000,4.6000,573899,0.0000
2018-03-23,4.8500,4.9500,4.5000,4.5000,4.5000,503793,0.0000
2018-03-16,4.8500,5.1000,4.7750,4.8500,4.8500,970258,0.0000
