timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-12,0.8698,0.9195,0.7425,0.7830,0.7830,138290,0.0000
2019-04-05,0.9200,0.9200,0.8400,0.8620,0.8620,85580,0.0000
2019-03-29,0.8800,0.9240,0.8200,0.9180,0.9180,123068,0.0000
2019-03-22,0.8600,0.9460,0.8500,0.8800,0.8800,139483,0.0000
2019-03-15,0.9850,0.9850,0.8513,0.8900,0.8900,392525,0.0000
2019-03-08,1.1300,1.1538,0.9300,0.9500,0.9500,310336,0.0000
2019-03-01,0.9691,1.2000,0.8509,1.1300,1.1300,402143,0.0000
2019-02-22,0.8910,0.9900,0.8910,0.9397,0.9397,105125,0.0000
2019-02-15,0.9900,1.0400,0.8716,0.9000,0.9000,86827,0.0000
2019-02-08,1.0200,1.1123,0.9200,0.9700,0.9700,59231,0.0000
2019-02-01,1.0500,1.0750,0.9020,1.0500,1.0500,143543,0.0000
2019-01-25,1.1400,1.1600,1.0001,1.0600,1.0600,67698,0.0000
2019-01-18,1.2400,1.2400,1.0000,1.1600,1.1600,205651,0.0000
2019-01-11,1.0800,1.2000,1.0400,1.1800,1.1800,95741,0.0000
2019-01-04,1.0000,1.1000,0.8011,1.0700,1.0700,141389,0.0000
2018-12-28,0.8001,0.9900,0.7999,0.9900,0.9900,135196,0.0000
2018-12-21,0.8800,0.9000,0.7300,0.8500,0.8500,377786,0.0000
2018-12-14,0.9330,0.9945,0.8020,0.8500,0.8500,201809,0.0000
2018-12-07,1.0500,1.1000,0.8991,0.9409,0.9409,206876,0.0000
2018-11-30,1.1200,1.1800,1.0400,1.0400,1.0400,446918,0.0000
2018-11-23,1.1700,1.1899,1.0600,1.1200,1.1200,43431,0.0000
2018-11-16,1.2900,1.2900,1.1400,1.1600,1.1600,48683,0.0000
2018-11-09,1.4400,1.5000,1.2500,1.2800,1.2800,498872,0.0000
2018-11-02,1.4100,1.5200,1.3848,1.4300,1.4300,184138,0.0000
2018-10-26,1.4400,1.4900,1.3220,1.3700,1.3700,218761,0.0000
2018-10-19,1.3800,1.5500,1.3400,1.4500,1.4500,370423,0.0000
2018-10-12,1.3900,1.4700,1.2800,1.3900,1.3900,770228,0.0000
2018-10-05,1.4100,1.5000,1.2700,1.4100,1.4100,345180,0.0000
