timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-12,7.5100,7.7600,7.4400,7.4400,7.4400,41467,0.0000
2019-04-05,7.5000,7.8500,7.4973,7.6500,7.6500,60997,0.0000
2019-03-29,7.0000,8.9500,6.8200,7.4100,7.4100,458576,0.0000
2019-03-22,6.8600,7.1200,6.7301,6.7807,6.7807,104433,0.0000
2019-03-15,6.7300,6.9900,6.6000,6.7800,6.7800,39977,0.0000
2019-03-08,6.5350,7.1300,6.5350,6.5500,6.5500,110343,0.0000
2019-03-01,6.4500,7.2000,6.3100,6.5326,6.5326,113299,0.0000
2019-02-22,6.5000,6.7500,6.2800,6.2800,6.2800,46740,0.0000
2019-02-15,6.8000,7.0000,6.3110,6.5000,6.5000,80531,0.0000
2019-02-08,6.1600,6.9700,6.1600,6.7000,6.7000,48480,0.0000
2019-02-01,6.3800,6.5376,6.1424,6.2000,6.2000,58849,0.0000
2019-01-25,6.3700,6.9600,6.0100,6.2500,6.2500,120938,0.0000
2019-01-18,5.9800,6.4500,5.9000,6.3700,6.3700,205567,0.0000
2019-01-11,5.7100,6.4999,5.7100,6.1500,6.1500,139310,0.0000
2019-01-04,4.9100,5.6237,4.8000,5.6000,5.6000,69137,0.0000
2018-12-28,5.3500,5.4500,4.7500,4.9000,4.9000,212646,0.0000
2018-12-21,6.8500,7.1200,5.2000,5.4900,5.4900,204835,0.0000
2018-12-14,7.2000,7.5500,6.9500,6.9500,6.9500,87972,0.0000
2018-12-07,7.9500,8.1200,7.2100,7.3500,7.3500,65698,0.0000
2018-11-30,7.9100,8.1200,7.3100,7.8200,7.8200,100503,0.0000
2018-11-23,7.0500,8.2000,6.8200,7.9800,7.9800,286050,0.0000
2018-11-16,7.3100,7.8700,6.5100,7.0500,7.0500,141275,0.0000
2018-11-09,7.3700,8.4400,7.2300,7.4100,7.4100,563188,0.0000
2018-11-02,8.1500,8.6900,6.6600,7.3230,7.3230,499548,0.0000
2018-10-26,7.6500,9.1000,5.8500,7.9900,7.9900,1976597,0.0000
2018-10-19,5.5200,8.0500,5.3700,6.9500,6.9500,1473754,0.0000
2018-10-12,6.2200,6.4799,5.3800,5.5400,5.5400,173953,0.0000
2018-10-05,5.2200,7.3000,5.0600,6.2900,6.2900,1218870,0.0000
2018-09-28,5.0500,5.5510,5.0258,5.2600,5.2600,111508,0.0000
2018-09-21,5.6800,5.9400,4.9900,5.0500,5.0500,194967,0.0000
2018-09-14,6.1600,6.6300,5.8015,5.9200,5.9200,128377,0.0000
2018-09-07,6.5000,6.8000,5.7425,6.1000,6.1000,93388,0.0000
2018-08-31,5.4800,7.2300,5.4800,6.5901,6.5901,291895,0.0000
2018-08-24,6.0900,6.2200,5.3500,5.5000,5.5000,274184,0.0000
2018-08-17,6.6200,6.8700,6.1200,6.1800,6.1800,177021,0.0000
2018-08-10,7.4400,7.8300,6.5500,6.7100,6.7100,184902,0.0000
2018-08-03,7.8500,9.4900,7.1700,7.5500,7.5500,491503,0.0000
2018-07-27,10.1900,10.9076,9.2001,9.7200,9.7200,618630,0.0000
2018-07-20,8.2800,10.9100,7.8100,10.4000,10.4000,677920,0.0000
2018-07-13,0.8300,9.3500,0.7900,8.2700,8.2700,1111282,0.0000
2018-07-06,0.7600,0.8790,0.7500,0.8200,8.2000,1363796,0.0000
2018-06-29,0.7700,0.7900,0.7150,0.7679,7.6790,707091,0.0000
2018-06-22,0.7100,0.8200,0.7100,0.7851,7.8505,642805,0.0000
2018-06-15,0.7700,0.7820,0.6912,0.7299,7.2990,1191256,0.0000
2018-06-08,0.7100,0.9000,0.7000,0.7907,7.9070,3207572,0.0000
2018-06-01,0.7200,0.7498,0.6525,0.7217,7.2170,307620,0.0000
2018-05-25,0.7000,0.7950,0.6675,0.7340,7.3400,1132015,0.0000
2018-05-18,0.6600,0.7100,0.6506,0.6880,6.8800,1301633,0.0000
2018-05-11,0.6500,0.7468,0.6500,0.6573,6.5730,1296593,0.0000
2018-05-04,0.7000,0.7199,0.6400,0.6429,6.4290,710400,0.0000
2018-04-27,0.6800,0.7295,0.6700,0.7018,7.0180,745812,0.0000
2018-04-20,0.7900,0.8100,0.6800,0.6951,6.9511,1101506,0.0000
2018-04-13,0.7000,0.8195,0.6510,0.7778,7.7780,3216432,0.0000
2018-04-06,0.7800,0.8190,0.6402,0.6776,6.7760,3490095,0.0000
2018-03-29,0.8410,0.9200,0.7400,0.7703,7.7030,5719520,0.0000
2018-03-23,1.2400,1.2400,0.8303,0.8488,8.4880,8730524,0.0000
2018-03-16,0.8500,1.5200,0.8130,1.2700,12.7000,39523393,0.0000
2018-03-09,0.8695,0.9700,0.8016,0.8600,8.6000,2399578,0.0000
2018-03-02,0.8902,0.8902,0.8000,0.8597,8.5970,1228768,0.0000
2018-02-23,0.9100,0.9140,0.8501,0.8706,8.7060,659441,0.0000
2018-02-16,0.9500,1.2100,0.8600,0.9100,9.1000,3566126,0.0000
2018-02-09,1.0700,1.0700,0.9001,0.9502,9.5020,602523,0.0000
2018-02-02,1.1100,1.1400,1.0600,1.0800,10.8000,1501621,0.0000
2018-01-26,1.2200,1.2200,1.0500,1.1300,11.3000,2421741,0.0000
2018-01-19,0.9500,1.3200,0.9102,1.2098,12.0980,4022815,0.0000
2018-01-12,1.0300,1.0400,0.8600,0.9100,9.1000,574425,0.0000
2018-01-05,0.8800,1.1500,0.8500,1.0001,10.0010,1555038,0.0000
2017-12-29,0.7900,0.9555,0.7900,0.8503,8.5030,1516172,0.0000
2017-12-22,0.9000,0.9110,0.7801,0.8020,8.0200,834014,0.0000
2017-12-15,0.8600,0.9099,0.7900,0.8300,8.3000,1025090,0.0000
2017-12-08,1.0600,1.2100,0.7700,0.8700,8.7000,1811608,0.0000
2017-12-01,1.2500,1.3200,1.1800,1.1900,11.9000,549015,0.0000
2017-11-24,1.2800,1.2899,1.2300,1.2550,12.5500,191055,0.0000
2017-11-17,1.3100,1.5890,1.2100,1.2801,12.8010,1624143,0.0000
2017-11-10,1.2500,1.4800,1.2500,1.3399,13.3990,775361,0.0000
2017-11-03,1.4200,1.4700,1.2900,1.2900,12.9000,320931,0.0000
2017-10-27,1.5200,1.5700,1.4000,1.4152,14.1520,195149,0.0000
2017-10-20,1.8700,1.8700,1.4500,1.5200,15.2000,422787,0.0000
2017-10-13,1.6001,1.7300,1.5800,1.6700,16.7000,224706,0.0000
2017-10-06,1.6300,1.7000,1.5500,1.6000,16.0000,195415,0.0000
2017-09-29,1.6100,1.6800,1.5100,1.6400,16.4000,182457,0.0000
2017-09-22,1.7375,1.7390,1.6100,1.6400,16.4000,129718,0.0000
2017-09-15,1.6800,1.7700,1.6500,1.7200,17.2000,240198,0.0000
2017-09-08,1.7000,1.7600,1.6500,1.6800,16.8000,107238,0.0000
2017-09-01,1.6700,1.7300,1.5300,1.7033,17.0330,521304,0.0000
2017-08-25,1.5501,1.9600,1.4700,1.6600,16.6000,2056790,0.0000
2017-08-18,1.6000,1.6607,1.5000,1.5400,15.4000,222053,0.0000
2017-08-11,1.3800,1.7000,1.3500,1.6117,16.1170,773028,0.0000
2017-08-04,1.4200,1.4700,1.3500,1.3600,13.6000,116224,0.0000
2017-07-28,1.4400,1.5400,1.3700,1.4000,14.0000,277779,0.0000
2017-07-21,1.4000,1.5300,1.3800,1.4100,14.1000,371416,0.0000
2017-07-14,1.4000,1.4093,1.3000,1.3800,13.8000,183364,0.0000
2017-07-07,1.4301,1.4804,1.3800,1.4100,14.1000,89592,0.0000
2017-06-30,1.4728,1.5000,1.3800,1.4300,14.3000,265845,0.0000
2017-06-23,1.4500,1.5499,1.3600,1.4600,14.6000,261815,0.0000
2017-06-16,1.5200,1.5200,1.4000,1.4001,14.0010,143361,0.0000
2017-06-09,1.5000,1.5850,1.4000,1.4900,14.9000,507487,0.0000
2017-06-02,1.6000,1.6000,1.3800,1.5000,15.0000,553576,0.0000
2017-05-26,1.6500,1.6800,1.5700,1.6100,16.1000,162126,0.0000
2017-05-19,1.7600,1.7700,1.6000,1.6300,16.3000,357015,0.0000
2017-05-12,1.5800,1.7700,1.5800,1.7500,17.5000,158338,0.0000
2017-05-05,1.8400,1.9000,1.5500,1.5500,15.5000,288639,0.0000
