timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-12,3.1800,3.4400,3.0601,3.0900,3.0900,6237081,0.0000
2019-04-05,3.2800,3.3200,2.9200,3.1800,3.1800,9266722,0.0000
2019-03-29,2.4900,3.9400,2.4500,3.3600,3.3600,56182464,0.0000
2019-03-22,2.7100,3.2600,2.1800,2.5900,2.5900,42293109,0.0000
2019-03-15,3.0000,4.1889,2.3800,2.8500,2.8500,44496692,0.0000
2019-03-08,1.6300,7.4900,1.3200,3.3900,3.3900,128248022,0.0000
2019-03-01,2.2500,2.3900,1.5500,1.6000,1.6000,3756988,0.0000
2019-02-22,3.7300,3.7940,2.0400,2.2500,2.2500,3483869,0.0000
2019-02-15,4.1900,4.4756,3.5600,3.6700,3.6700,1068622,0.0000
2019-02-08,4.0000,4.6200,3.5300,4.1700,4.1700,722745,0.0000
2019-02-01,4.1500,4.8200,3.8000,4.2200,4.2200,913162,0.0000
2019-01-25,0.2397,6.5393,0.2069,4.1500,4.1500,3615853,0.0000
2019-01-18,0.2700,0.2800,0.2311,0.2381,7.1430,2590515,0.0000
2019-01-11,0.2500,0.2800,0.2250,0.2715,8.1450,2637269,0.0000
2019-01-04,0.2100,0.2520,0.1851,0.2300,6.9000,3577423,0.0000
2018-12-28,0.2100,0.2111,0.1800,0.1950,5.8500,1177559,0.0000
2018-12-21,0.2800,0.2851,0.1900,0.1902,5.7060,2718348,0.0000
2018-12-14,0.2950,0.3480,0.2700,0.2803,8.4090,4616452,0.0000
2018-12-07,0.3050,0.3200,0.2700,0.2869,8.6070,1413533,0.0000
2018-11-30,0.3190,0.3300,0.2905,0.3060,9.1800,1507352,0.0000
2018-11-23,0.2950,0.3300,0.2940,0.2992,8.9760,488240,0.0000
2018-11-16,0.3400,0.3500,0.2880,0.2910,8.7300,1505550,0.0000
2018-11-09,0.3690,0.3900,0.3400,0.3442,10.3260,1261331,0.0000
2018-11-02,0.3300,0.3800,0.3120,0.3705,11.1150,3357163,0.0000
2018-10-26,0.3255,0.4200,0.3000,0.3411,10.2330,9072346,0.0000
2018-10-19,0.3010,0.4273,0.2910,0.3131,9.3930,10798376,0.0000
2018-10-12,0.3153,0.3400,0.2800,0.2914,8.7420,2253124,0.0000
2018-10-05,0.3200,0.3940,0.3000,0.3100,9.3000,7680687,0.0000
2018-09-28,0.2900,0.3200,0.2850,0.3101,9.3030,2720596,0.0000
2018-09-21,0.2950,0.3100,0.2740,0.2845,8.5350,1541117,0.0000
2018-09-14,0.2809,0.3700,0.2600,0.2866,8.5980,7694209,0.0000
2018-09-07,0.3500,0.3700,0.2600,0.2800,8.4000,3324406,0.0000
2018-08-31,0.2995,0.3350,0.2891,0.3300,9.9000,2194109,0.0000
2018-08-24,0.2850,0.3400,0.2780,0.2950,8.8500,2240382,0.0000
2018-08-17,0.2803,0.3090,0.2660,0.2850,8.5500,928392,0.0000
2018-08-10,0.2800,0.3000,0.2630,0.2803,8.4090,1225412,0.0000
2018-08-03,0.4600,0.4650,0.2700,0.2841,8.5230,7112181,0.0000
2018-07-27,0.4000,0.4248,0.3600,0.3710,11.1300,739803,0.0000
2018-07-20,0.3760,0.4400,0.3639,0.4000,12.0000,2140645,0.0000
2018-07-13,0.3810,0.4200,0.3500,0.3750,11.2500,1468784,0.0000
2018-07-06,0.3774,0.4042,0.3600,0.3750,11.2500,845142,0.0000
2018-06-29,0.4113,0.4499,0.3600,0.3900,11.7000,2910946,0.0000
2018-06-22,0.3650,0.5000,0.3200,0.4080,12.2409,6463065,0.0000
2018-06-15,0.2700,0.5800,0.2700,0.3637,10.9110,20572712,0.0000
2018-06-08,0.2800,0.2850,0.2551,0.2700,8.1000,1687591,0.0000
2018-06-01,0.2937,0.2947,0.2550,0.2816,8.4480,989076,0.0000
2018-05-25,0.3000,0.3200,0.2860,0.2937,8.8110,2513734,0.0000
2018-05-18,0.3000,0.3200,0.2811,0.3000,9.0000,2065079,0.0000
2018-05-11,0.2700,0.3400,0.2652,0.3000,9.0000,4433173,0.0000
