timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-12,4.3500,4.4600,3.9700,4.1000,4.1000,21141342,0.0000
2019-04-05,4.3700,4.5400,4.2321,4.3100,4.3100,20864271,0.0000
2019-03-29,3.8700,4.3000,3.7850,4.1100,4.1100,26277214,0.0000
2019-03-22,4.1300,4.6000,3.8300,3.8600,3.8600,37271395,0.0000
2019-03-15,3.6500,4.1100,3.6400,4.0500,4.0500,40166650,0.0000
2019-03-08,3.6400,3.9400,3.5600,3.5900,3.5900,28928036,0.0000
2019-03-01,3.4100,3.7150,3.3400,3.6600,3.6600,35674333,0.0000
2019-02-22,2.7300,3.3900,2.7000,3.3000,3.3000,25095066,0.0000
2019-02-15,2.6000,2.7300,2.5100,2.7100,2.7100,10809662,0.0000
2019-02-08,2.6400,2.6900,2.4600,2.5900,2.5900,14281185,0.0000
2019-02-01,2.5900,2.9650,2.5200,2.7300,2.7300,25680006,0.0000
2019-01-25,2.5800,2.7500,2.5100,2.7100,2.7100,7117078,0.0000
2019-01-18,2.5700,2.6500,2.5300,2.6100,2.6100,5139120,0.0000
2019-01-11,2.6000,2.6900,2.5500,2.6400,2.6400,8594257,0.0000
2019-01-04,2.2400,2.6300,2.1600,2.6000,2.6000,8361273,0.0000
2018-12-28,2.2000,2.2500,2.1500,2.2300,2.2300,3751476,0.0000
2018-12-21,2.2900,2.4400,2.1800,2.1900,2.1900,8030496,0.0000
2018-12-14,2.1700,2.3600,2.1100,2.2400,2.2400,7873712,0.0000
2018-12-07,2.3800,2.4000,2.1600,2.2200,2.2200,4647332,0.0000
2018-11-30,2.2000,2.3100,2.1000,2.2600,2.2600,9054563,0.0000
2018-11-23,2.4800,2.5200,2.2200,2.2300,2.2300,5827588,0.0000
2018-11-16,2.5200,2.5900,2.3100,2.5400,2.5400,8166146,0.0000
2018-11-09,2.6100,2.7000,2.4600,2.5800,2.5800,9636196,0.0000
2018-11-02,2.5500,2.6700,2.3100,2.6500,2.6500,13400020,0.0000
2018-10-26,2.6400,2.7000,2.4000,2.5000,2.5000,13122949,0.0000
2018-10-19,2.4400,2.7400,2.4150,2.5800,2.5800,12799880,0.0000
2018-10-12,2.5400,2.6300,2.3500,2.5000,2.5000,12060192,0.0000
2018-10-05,2.2700,2.5750,2.2200,2.4000,2.4000,13055861,0.0000
2018-09-28,2.2000,2.3400,2.0700,2.2800,2.2800,7514858,0.0000
2018-09-21,2.0100,2.2500,2.0100,2.2100,2.2100,11588759,0.0000
2018-09-14,2.0500,2.0600,1.9300,2.0400,2.0400,9633285,0.0000
2018-09-07,2.0800,2.1000,1.9600,2.0500,2.0500,5601371,0.0000
2018-08-31,2.2300,2.3000,2.0100,2.1200,2.1200,10185176,0.0000
