timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-12,13.9600,14.1900,13.5100,14.1200,14.1200,52313,0.0000
2019-04-05,12.9400,14.0200,12.9400,14.0000,14.0000,77447,0.0000
2019-03-29,13.2800,13.2800,12.5286,12.9100,12.9100,50623,0.0000
2019-03-22,14.7400,14.7500,12.5800,12.6600,12.6600,110459,0.0000
2019-03-15,14.4000,14.7400,14.2600,14.5300,14.5300,99714,0.0000
2019-03-08,14.9300,15.0000,14.1200,14.3100,14.3100,163118,0.0000
2019-03-01,14.7400,15.0000,14.6100,15.0000,15.0000,224519,0.0000
2019-02-22,14.0800,14.7300,14.0800,14.6900,14.6900,209108,0.0000
2019-02-15,13.4500,14.1900,13.3600,14.1700,14.1700,311733,0.0000
2019-02-08,12.9000,13.5500,12.8900,13.4300,13.4300,74677,0.0600
2019-02-01,12.9000,13.2800,12.7300,12.9300,12.8725,86841,0.0000
2019-01-25,13.4700,13.4700,12.4900,12.9600,12.9024,110794,0.0000
2019-01-18,13.1500,13.6000,12.9500,13.4700,13.4101,124168,0.0000
2019-01-11,13.0000,13.6500,12.9501,13.1400,13.0816,157444,0.0000
2019-01-04,12.8000,13.3500,12.6300,13.2500,13.1911,95000,0.0000
2018-12-28,12.8600,12.9900,12.2600,12.7900,12.7331,107153,0.0000
2018-12-21,13.0900,13.5000,12.6200,12.9200,12.8625,521106,0.0000
2018-12-14,13.4200,13.9000,13.0000,13.0900,13.0318,4085955,0.0000
2018-12-07,13.7200,13.9100,13.2000,13.3500,13.2906,98525,0.0000
2018-11-30,13.7300,13.9900,13.5600,13.6100,13.5495,64648,0.0000
2018-11-23,13.6700,13.7000,13.4000,13.6700,13.6092,35607,0.0000
2018-11-16,13.5400,13.7500,13.2900,13.6400,13.5793,148552,0.0000
2018-11-09,13.3500,13.5800,13.2000,13.5800,13.5196,61781,0.0000
2018-11-02,13.5800,13.6300,12.6400,13.3400,13.2807,129344,0.0600
2018-10-26,13.8200,13.8900,13.1500,13.4600,13.3401,232086,0.0000
2018-10-19,13.8840,14.2700,13.7900,13.7900,13.6672,86947,0.0000
2018-10-12,14.0900,14.4000,13.7700,13.7700,13.6474,617463,0.0000
2018-10-05,14.0300,14.1000,13.7800,14.0100,13.8852,331066,0.0000
2018-09-28,14.0000,14.0500,13.7500,14.0000,13.8753,64702,0.0000
2018-09-21,13.8000,14.0500,13.6250,14.0500,13.9249,109081,0.0000
2018-09-14,13.7500,13.9500,13.6500,13.7500,13.6276,47975,0.0000
2018-09-07,13.7000,14.0500,13.6500,13.9000,13.7762,227454,0.0000
2018-08-31,13.8500,13.8500,13.6500,13.8500,13.7267,30597,0.0000
2018-08-24,14.0000,14.0000,13.7500,13.8250,13.7019,89186,0.0000
