timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-12,3.4200,3.5500,3.2500,3.3000,3.3000,223139,0.0000
2019-04-05,3.3000,3.4699,3.0600,3.4200,3.4200,266285,0.0000
2019-03-29,3.6900,3.6900,3.2300,3.2751,3.2751,247598,0.0000
2019-03-22,3.4500,3.6299,3.4500,3.5958,3.5958,228643,0.0000
2019-03-15,3.6700,3.7999,3.4200,3.4300,3.4300,385668,0.0000
2019-03-08,3.5000,3.7500,3.2700,3.6000,3.6000,455265,0.0000
2019-03-01,3.7500,3.8900,3.5200,3.5700,3.5700,443034,0.0000
2019-02-22,3.8000,3.8500,3.6000,3.7077,3.7077,534991,0.0000
2019-02-15,3.7300,3.7700,3.5523,3.7000,3.7000,308719,0.0000
2019-02-08,3.8200,3.8700,3.5400,3.7200,3.7200,401896,0.0000
2019-02-01,3.5200,3.7900,3.3500,3.7700,3.7700,493603,0.0000
2019-01-25,3.0300,3.5300,3.0300,3.5000,3.5000,381571,0.0000
2019-01-18,3.1600,3.1600,2.8800,3.0300,3.0300,204664,0.0000
2019-01-11,2.9900,3.3600,2.8422,3.1600,3.1600,637739,0.0000
2019-01-04,2.7100,3.0000,2.7000,2.9460,2.9460,374586,0.0000
2018-12-28,2.4600,2.7500,2.3900,2.6500,2.6500,190546,0.0000
2018-12-21,2.2700,2.4600,2.2500,2.4450,2.4450,469830,0.0000
2018-12-14,2.3700,2.4900,2.3700,2.4200,2.4200,330407,0.0000
2018-12-07,2.5000,2.5600,2.2500,2.2500,2.2500,158367,0.0000
2018-11-30,2.2900,2.5900,2.2100,2.4778,2.4778,400342,0.0000
2018-11-23,2.5300,2.7000,2.2100,2.2300,2.2300,329070,0.0000
2018-11-16,2.6500,2.6700,2.2500,2.6000,2.6000,485372,0.0000
2018-11-09,2.7500,2.8380,2.5500,2.6346,2.6346,313459,0.0000
2018-11-02,2.6600,2.8900,2.4900,2.7500,2.7500,490069,0.0000
2018-10-26,3.0700,3.0700,2.5100,2.6300,2.6300,447908,0.0000
2018-10-19,2.7000,2.9500,2.6509,2.9500,2.9500,390688,0.0000
2018-10-12,2.9000,3.0000,2.5100,2.6500,2.6500,511540,0.0000
2018-10-05,2.4800,2.9000,2.4001,2.9000,2.9000,778241,0.0000
2018-09-28,2.5400,2.5632,2.4000,2.4500,2.4500,120804,0.0000
2018-09-21,2.4400,2.7100,2.3000,2.5600,2.5600,299755,0.0000
2018-09-14,2.4000,2.5000,2.2000,2.4150,2.4150,206308,0.0000
2018-09-07,2.4500,2.5500,2.2801,2.3700,2.3700,175907,0.0000
2018-08-31,2.4700,2.6000,2.3900,2.4500,2.4500,211265,0.0000
2018-08-24,2.2819,2.5400,2.1500,2.4493,2.4493,285107,0.0000
2018-08-17,2.3400,2.3800,1.9700,2.2200,2.2200,440014,0.0000
2018-08-10,2.6650,2.6650,2.3800,2.3912,2.3912,164112,0.0000
2018-08-03,2.6800,2.7600,2.4100,2.4600,2.4600,273137,0.0000
2018-07-27,2.4500,2.7274,2.3802,2.6846,2.6846,218330,0.0000
2018-07-20,2.2481,2.5000,2.1900,2.4879,2.4879,147845,0.0000
2018-07-13,2.1700,2.5900,2.1104,2.2161,2.2161,321077,0.0000
2018-07-06,2.0400,2.1792,1.9100,2.1275,2.1275,106474,0.0000
2018-06-29,2.1690,2.1690,2.0288,2.0900,2.0900,114575,0.0000
2018-06-22,2.2084,2.2450,1.9900,2.2000,2.2000,331369,0.0000
2018-06-15,2.0600,2.3165,2.0314,2.1800,2.1800,507594,0.0000
2018-06-08,2.0000,2.0705,1.8912,2.0600,2.0600,150360,0.0000
2018-06-01,1.9004,2.1277,1.8800,2.0389,2.0389,248852,0.0000
2018-05-25,1.6600,1.8733,1.6600,1.8610,1.8610,110555,0.0000
2018-05-18,1.7420,1.8800,1.7040,1.7300,1.7300,165591,0.0000
2018-05-11,1.8929,1.9100,1.7300,1.7480,1.7480,173199,0.0000
2018-05-04,1.7500,2.0012,1.7500,1.9140,1.9140,233268,0.0000
2018-04-27,1.6692,1.8000,1.6300,1.7800,1.7800,93458,0.0000
2018-04-20,1.6333,1.7000,1.5800,1.6600,1.6600,191383,0.0000
2018-04-13,1.7341,1.7800,1.6302,1.6590,1.6590,92146,0.0000
2018-04-06,1.7750,1.8085,1.6700,1.7300,1.7300,214848,0.0000
2018-03-29,1.8550,1.8550,1.7374,1.7999,1.7999,114640,0.0000
2018-03-23,1.6500,1.8692,1.6094,1.8170,1.8170,177342,0.0000
2018-03-16,1.9209,1.9750,1.6200,1.6330,1.6330,277690,0.0000
2018-03-09,1.8350,1.9867,1.8350,1.9003,1.9003,182224,0.0000
2018-03-02,1.9100,1.9700,1.7880,1.8199,1.8199,152142,0.0000
2018-02-23,1.6800,1.8872,1.6800,1.8812,1.8812,136746,0.0000
2018-02-16,1.5292,1.8500,1.5292,1.7800,1.7800,298016,0.0000
2018-02-09,1.4600,1.6550,1.4600,1.5835,1.5835,179226,0.0000
2018-02-02,1.5900,1.6994,1.4639,1.5300,1.5300,256454,0.0000
2018-01-26,1.5200,1.6209,1.4138,1.5900,1.5900,295734,0.0000
2018-01-19,1.6700,1.6978,1.5300,1.5300,1.5300,173569,0.0000
2018-01-12,1.6700,2.0054,1.5300,1.5900,1.5900,283968,0.0000
