timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-12,6.0000,7.2200,5.6154,6.1300,6.1300,1229949,0.0000
2019-04-05,5.3200,6.2400,4.8200,5.9700,5.9700,1348993,0.0000
2019-03-29,4.8300,5.9600,4.5800,5.2500,5.2500,1935321,0.0000
2019-03-22,5.1000,5.3300,4.5200,4.6900,4.6900,743371,0.0000
2019-03-15,5.4700,5.7300,4.9800,5.1200,5.1200,919438,0.0000
2019-03-08,6.4100,7.1150,5.2500,5.3900,5.3900,930666,0.0000
2019-03-01,6.4300,6.7234,6.0500,6.3400,6.3400,636236,0.0000
2019-02-22,6.3600,6.5373,6.1000,6.3100,6.3100,251755,0.0000
2019-02-15,6.0500,6.4200,5.9300,6.3900,6.3900,328074,0.0000
2019-02-08,5.7700,6.5600,5.6000,6.0000,6.0000,675468,0.0000
2019-02-01,5.3700,5.7600,5.1200,5.7500,5.7500,565474,0.0000
2019-01-25,5.7200,5.7500,5.1250,5.4400,5.4400,548386,0.0000
2019-01-18,6.4000,6.6000,5.7500,5.7800,5.7800,750220,0.0000
2019-01-11,5.2000,6.6800,5.2000,6.5300,6.5300,1119441,0.0000
2019-01-04,4.0500,5.1000,4.0400,4.9400,4.9400,783316,0.0000
2018-12-28,3.5500,4.1900,3.3900,4.0400,4.0400,848771,0.0000
2018-12-21,4.7900,4.9900,3.5700,3.6300,3.6300,2298393,0.0000
2018-12-14,4.7800,5.0451,4.6114,4.9100,4.9100,1080247,0.0000
2018-12-07,5.2500,5.6000,4.6500,4.7700,4.7700,1054594,0.0000
2018-11-30,4.9900,5.3500,4.7000,5.1000,5.1000,1354596,0.0000
2018-11-23,4.8500,5.1400,4.4210,4.9000,4.9000,963070,0.0000
2018-11-16,5.4400,5.5500,4.6400,4.9300,4.9300,861780,0.0000
2018-11-09,5.0900,5.7500,4.7700,5.4200,5.4200,1531035,0.0000
2018-11-02,4.9300,5.3500,4.3600,5.1200,5.1200,1913687,0.0000
2018-10-26,7.2500,7.2500,4.5000,5.0100,5.0100,3698212,0.0000
2018-10-19,6.4700,7.6000,6.2224,7.2900,7.2900,1078695,0.0000
2018-10-12,7.7400,7.8100,6.1000,6.3900,6.3900,1674456,0.0000
2018-10-05,8.3700,9.1500,7.5195,7.7000,7.7000,2166954,0.0000
2018-09-28,6.7800,8.2400,6.5000,8.0800,8.0800,3555496,0.0000
2018-09-21,6.9400,7.3400,6.4750,6.7700,6.7700,1466277,0.0000
2018-09-14,7.0500,7.3400,6.3200,6.9300,6.9300,1437286,0.0000
2018-09-07,7.7300,7.7482,6.9896,7.0400,7.0400,796377,0.0000
2018-08-31,7.2000,8.1300,7.1200,7.7600,7.7600,1702227,0.0000
2018-08-24,7.1700,7.3300,6.8400,7.1600,7.1600,998027,0.0000
2018-08-17,7.0400,7.4700,6.8400,7.1800,7.1800,1294590,0.0000
2018-08-10,6.4000,7.9400,6.1001,7.0400,7.0400,1572710,0.0000
2018-08-03,6.6300,6.9700,6.2700,6.3300,6.3300,1203608,0.0000
2018-07-27,7.5100,7.7000,6.6500,6.7300,6.7300,1628792,0.0000
2018-07-20,7.3200,7.6150,7.0600,7.4900,7.4900,1346283,0.0000
2018-07-13,7.4800,7.5500,6.9145,7.3100,7.3100,1465026,0.0000
2018-07-06,7.0300,7.4300,6.7100,7.3300,7.3300,1286854,0.0000
2018-06-29,7.6600,7.9100,6.6100,7.0200,7.0200,1458844,0.0000
2018-06-22,8.5600,8.8400,7.5450,7.6800,7.6800,1895447,0.0000
2018-06-15,8.1300,8.7400,8.0100,8.6000,8.6000,1389710,0.0000
2018-06-08,8.7900,8.8801,7.3501,8.1100,8.1100,2319649,0.0000
2018-06-01,9.1000,9.3700,8.6810,8.8200,8.8200,1210576,0.0000
2018-05-25,8.9300,9.5200,8.3820,9.0700,9.0700,1982119,0.0000
2018-05-18,10.8700,11.4900,8.1900,8.8000,8.8000,3292531,0.0000
2018-05-11,10.6000,11.9900,10.1300,10.6900,10.6900,1106180,0.0000
2018-05-04,10.6900,11.3100,10.3100,10.5100,10.5100,667224,0.0000
2018-04-27,11.0000,11.0990,10.1000,10.6700,10.6700,719199,0.0000
2018-04-20,11.3700,11.8500,10.4300,11.0300,11.0300,943958,0.0000
2018-04-13,10.8400,11.7400,10.6600,11.4200,11.4200,1614931,0.0000
2018-04-06,14.2000,15.2000,10.6700,10.8400,10.8400,2103370,0.0000
2018-03-29,14.1500,14.9600,13.3400,14.2300,14.2300,927889,0.0000
2018-03-23,13.7600,14.8800,12.8100,13.9000,13.9000,1833480,0.0000
2018-03-16,9.8300,14.7800,9.3500,13.7600,13.7600,5306027,0.0000
2018-03-09,9.9400,10.2250,8.5371,9.8300,9.8300,2008030,0.0000
2018-03-02,9.1700,9.9208,8.7600,9.8900,9.8900,1278816,0.0000
2018-02-23,9.4200,9.8200,8.6250,9.0700,9.0700,1053650,0.0000
2018-02-16,9.0100,10.4483,8.7100,9.4800,9.4800,1487378,0.0000
2018-02-09,10.9900,11.3100,8.5000,8.9800,8.9800,1890653,0.0000
2018-02-02,11.4500,12.4900,10.5600,11.1400,11.1400,2463334,0.0000
2018-01-26,10.5700,11.6300,9.7210,11.3100,11.3100,2434891,0.0000
2018-01-19,9.2700,10.5500,9.0000,10.1700,10.1700,2584474,0.0000
2018-01-12,9.8000,9.9550,8.8100,9.1900,9.1900,1194998,0.0000
2018-01-05,8.7400,10.7000,8.4400,9.5300,9.5300,1135992,0.0000
2017-12-29,8.5700,8.8700,8.2200,8.7600,8.7600,542475,0.0000
2017-12-22,8.0300,8.5700,7.7000,8.4300,8.4300,811163,0.0000
2017-12-15,8.5100,9.1900,7.9900,8.0300,8.0300,2050510,0.0000
2017-12-08,8.4200,8.6900,7.8200,8.4000,8.4000,895533,0.0000
2017-12-01,8.2000,9.0129,8.0500,8.2900,8.2900,2291175,0.0000
