timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-12,0.9400,0.9800,0.8900,0.9100,0.9100,287135,0.0000
2019-04-05,0.9240,1.0000,0.8600,0.9200,0.9200,450704,0.0000
2019-03-29,0.8900,0.9400,0.8247,0.9100,0.9100,269574,0.0000
2019-03-22,0.8480,0.9000,0.8297,0.8857,0.8857,203486,0.0000
2019-03-15,0.7878,0.9401,0.7100,0.8784,0.8784,617607,0.0000
2019-03-08,0.8002,0.8500,0.7007,0.7880,0.7880,215931,0.0000
2019-03-01,0.8995,0.8995,0.8005,0.8200,0.8200,160358,0.0000
2019-02-22,0.8800,0.9200,0.8450,0.8795,0.8795,191492,0.0000
2019-02-15,0.8000,0.9399,0.7600,0.8703,0.8703,376966,0.0000
2019-02-08,0.7700,0.8100,0.7508,0.7707,0.7707,82327,0.0000
2019-02-01,0.7402,0.8000,0.7400,0.7705,0.7705,77376,0.0000
2019-01-25,0.7690,0.7710,0.7325,0.7700,0.7700,70138,0.0000
2019-01-18,0.7180,0.7720,0.7150,0.7416,0.7416,120063,0.0000
2019-01-11,0.7718,0.7718,0.6800,0.7260,0.7260,201720,0.0000
2019-01-04,0.5600,0.8100,0.5600,0.7350,0.7350,249686,0.0000
2018-12-28,0.7400,0.7400,0.5510,0.5700,0.5700,211156,0.0000
2018-12-21,0.8300,0.8400,0.7100,0.7100,0.7100,201910,0.0000
2018-12-14,0.8162,0.8410,0.7080,0.8021,0.8021,249197,0.0000
2018-12-07,0.8110,0.9500,0.7800,0.8447,0.8447,367318,0.0000
2018-11-30,0.9601,1.4000,0.8305,0.8305,0.8305,13591654,0.0000
2018-11-23,0.9000,0.9000,0.8500,0.8800,0.8800,121874,0.0000
2018-11-16,0.9250,0.9900,0.8600,0.9000,0.9000,317445,0.0000
2018-11-09,0.8400,0.9312,0.8300,0.9042,0.9042,114886,0.0000
2018-11-02,0.8850,0.8850,0.8100,0.8505,0.8505,193978,0.0000
2018-10-26,0.9100,0.9312,0.7800,0.8899,0.8899,388831,0.0000
2018-10-19,1.0100,1.0300,0.8621,0.8900,0.8900,793143,0.0000
2018-10-12,1.0400,1.5500,0.9600,1.0100,1.0100,6052554,0.0000
2018-10-05,1.0000,1.0800,1.0000,1.0700,1.0700,216671,0.0000
2018-09-28,1.0400,1.0700,1.0000,1.0000,1.0000,119967,0.0000
2018-09-21,1.0200,1.0400,1.0100,1.0400,1.0400,106583,0.0000
2018-09-14,1.0500,1.0600,1.0000,1.0200,1.0200,186253,0.0000
2018-09-07,1.0500,1.0800,1.0300,1.0400,1.0400,129666,0.0000
2018-08-31,1.0500,1.1339,1.0300,1.0783,1.0783,204073,0.0000
2018-08-24,1.0500,1.1000,1.0300,1.0600,1.0600,129493,0.0000
2018-08-17,1.0501,1.0900,0.9500,1.0200,1.0200,427294,0.0000
2018-08-10,1.0300,1.1500,1.0300,1.0510,1.0510,521677,0.0000
2018-08-03,1.0501,1.0700,1.0200,1.0300,1.0300,295338,0.0000
2018-07-27,1.0400,1.1400,1.0300,1.0300,1.0300,462584,0.0000
2018-07-20,1.0300,1.1400,1.0000,1.0535,1.0535,990785,0.0000
2018-07-13,1.0500,1.1500,0.9900,1.0200,1.0200,711166,0.0000
2018-07-06,1.0400,1.0700,1.0000,1.0100,1.0100,182149,0.0000
2018-06-29,1.0500,1.0800,1.0300,1.0600,1.0600,248833,0.0000
2018-06-22,1.0900,1.1000,1.0400,1.0500,1.0500,313879,0.0000
2018-06-15,1.0500,1.3800,1.0400,1.0900,1.0900,1384776,0.0000
