timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-16,3.4500,3.7700,3.3100,3.5350,3.5350,57276,0.0000
2019-04-12,3.3000,3.6699,3.3000,3.4200,3.4200,145536,0.0000
2019-04-05,3.6700,3.8600,2.9100,3.2900,3.2900,202162,0.0000
2019-03-29,4.0500,4.2400,3.4400,3.6000,3.6000,222568,0.0000
2019-03-22,4.1525,4.3900,4.1000,4.1000,4.1000,166122,0.0000
2019-03-15,4.0300,4.6000,4.0300,4.2400,4.2400,218002,0.0000
2019-03-08,4.0200,4.4500,4.0000,4.1200,4.1200,285183,0.0000
2019-03-01,4.9000,5.1500,3.5600,4.0000,4.0000,637390,0.0000
2019-02-22,5.1800,5.4700,4.8800,4.8900,4.8900,104804,0.0000
2019-02-15,5.5100,5.5100,5.0100,5.2600,5.2600,128815,0.0000
2019-02-08,5.5400,5.5900,5.2800,5.4500,5.4500,109557,0.0000
2019-02-01,5.4000,5.7000,5.0918,5.4500,5.4500,146999,0.0000
2019-01-25,4.1900,5.5000,4.1200,5.4700,5.4700,167082,0.0000
2019-01-18,3.8400,4.3000,3.6300,4.2900,4.2900,174648,0.0000
2019-01-11,3.6000,3.9500,3.4400,3.9500,3.9500,308664,0.0000
2019-01-04,2.9000,3.5800,2.8300,3.5500,3.5500,221347,0.0000
2018-12-28,2.3800,3.0800,2.3800,3.0500,3.0500,346933,0.0000
2018-12-21,2.9800,3.0200,2.2500,2.4000,2.4000,309889,0.0000
2018-12-14,3.8010,3.8010,2.9800,2.9800,2.9800,250689,0.0000
2018-12-07,4.1200,4.1600,3.6500,3.7800,3.7800,226492,0.0000
2018-11-30,3.8000,4.1922,3.7800,3.9700,3.9700,277759,0.0000
2018-11-23,3.8401,4.1500,3.5500,3.7800,3.7800,260119,0.0000
2018-11-16,4.0400,4.5000,3.7100,3.8400,3.8400,362053,0.0000
2018-11-09,4.4500,4.6000,4.1000,4.1000,4.1000,256232,0.0000
2018-11-02,4.6100,4.6900,4.1000,4.4500,4.4500,343058,0.0000
2018-10-26,5.0100,5.0800,4.5400,4.6900,4.6900,380199,0.0000
2018-10-19,4.8500,5.1200,4.7000,4.8700,4.8700,817170,0.0000
2018-10-12,5.4100,5.5000,4.1800,4.9500,4.9500,508115,0.0000
2018-10-05,6.2000,6.2800,5.3200,5.4600,5.4600,211905,0.0000
2018-09-28,6.4000,6.5300,5.8000,6.0500,6.0500,254140,0.0000
2018-09-21,6.2100,6.9500,6.2100,6.4000,6.4000,202883,0.0000
2018-09-14,5.9600,6.6800,5.7600,6.2500,6.2500,420962,0.0000
2018-09-07,6.3200,7.0800,5.6600,6.0100,6.0100,315236,0.0000
2018-08-31,5.4600,7.8700,5.2100,6.3800,6.3800,1913597,0.0000
2018-08-24,5.3300,5.7700,5.0700,5.4100,5.4100,830582,0.0000
2018-08-17,6.3000,6.3800,5.0499,5.1300,5.1300,605330,0.0000
2018-08-10,6.1400,6.7392,5.9000,6.5100,6.5100,477006,0.0000
2018-08-03,6.3200,6.3900,5.7700,6.2000,6.2000,677969,0.0000
2018-07-27,7.7700,7.7900,5.9200,6.3800,6.3800,1721444,0.0000
2018-07-20,8.4400,8.8600,7.7000,7.7200,7.7200,972125,0.0000
2018-07-13,8.1400,8.4500,7.5900,8.4500,8.4500,444439,0.0000
2018-07-06,8.8200,9.0400,7.8100,8.1700,8.1700,386441,0.0000
2018-06-29,9.0900,9.3200,8.8200,8.9100,8.9100,546546,0.0000
2018-06-22,9.1000,9.8700,8.8600,9.1000,9.1000,709181,0.0000
2018-06-15,10.1700,10.5000,8.9100,8.9400,8.9400,733504,0.0000
2018-06-08,10.5000,10.5000,9.8500,10.0000,10.0000,341235,0.0000
2018-06-01,9.7100,10.5000,9.2730,10.4800,10.4800,1265990,0.0000
2018-05-25,9.9100,10.6000,9.1470,9.6900,9.6900,1091427,0.0000
2018-05-18,11.1100,11.1100,9.9000,10.0900,10.0900,894973,0.0000
2018-05-11,9.6000,11.4000,9.4000,11.0100,11.0100,1329725,0.0000
2018-05-04,8.2700,9.8000,8.2264,9.1500,9.1500,2348634,0.0000
2018-04-27,8.0700,8.1538,7.7000,8.1300,8.1300,1331293,0.0000
2018-04-20,7.3400,8.2900,6.8000,8.0100,8.0100,2364410,0.0000
2018-04-13,8.0000,8.4000,7.1900,7.3300,7.3300,2307410,0.0000
2018-04-06,8.5100,8.7000,7.1115,8.0000,8.0000,5632778,0.0000
2018-03-29,11.3100,12.1500,8.2500,8.3000,8.3000,6252209,0.0000
