timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-17,2.4700,2.4900,2.3700,2.3710,2.3710,584913,0.0000
2019-04-12,2.5500,2.5900,2.4100,2.4100,2.4100,1219425,0.0000
2019-04-05,2.5300,2.5800,2.3600,2.5400,2.5400,1703265,0.0000
2019-03-29,2.7300,2.7400,2.5400,2.5500,2.5500,2366572,0.0000
2019-03-22,2.6100,2.7500,2.5100,2.7200,2.7200,1635027,0.0000
2019-03-15,2.6500,2.7400,2.5136,2.6000,2.6000,1552687,0.0000
2019-03-08,2.5100,2.6421,2.4300,2.6400,2.6400,1742486,0.0000
2019-03-01,2.7300,2.8016,2.5300,2.5400,2.5400,1936332,0.0000
2019-02-22,2.4300,2.7600,2.4000,2.7100,2.7100,2843029,0.0000
2019-02-15,2.2400,2.3900,2.2100,2.3900,2.3900,1483624,0.0000
2019-02-08,2.2500,2.3700,2.1800,2.2700,2.2700,1653703,0.0000
2019-02-01,2.1400,2.3400,2.1250,2.3100,2.3100,1555553,0.0000
2019-01-25,2.0000,2.1700,1.9600,2.1300,2.1300,971923,0.0000
2019-01-18,2.2300,2.2600,1.9700,2.0000,2.0000,1297965,0.0000
2019-01-11,2.2300,2.3900,2.1821,2.2400,2.2400,1467936,0.0000
2019-01-04,2.0900,2.3100,2.0000,2.2300,2.2300,1732201,0.0000
2018-12-28,1.9900,2.1300,1.9900,2.0700,2.0700,1119276,0.0000
2018-12-21,2.0200,2.1000,1.8700,1.9800,1.9800,2229605,0.0000
2018-12-14,1.9900,2.1150,1.9200,2.0200,2.0200,1337084,0.0000
2018-12-07,1.9700,2.0900,1.9300,2.0100,2.0100,1100553,0.0000
2018-11-30,1.9200,2.0000,1.8300,1.9500,1.9500,1144087,0.0125
2018-11-23,2.0200,2.1100,1.8900,1.9200,1.9073,1352421,0.0000
2018-11-16,2.1900,2.2000,1.8500,2.0200,2.0067,4238585,0.0000
2018-11-09,2.2400,2.4000,2.1200,2.2200,2.2053,1157957,0.0000
2018-11-02,2.3800,2.4500,2.1800,2.3000,2.2848,1435283,0.0000
2018-10-26,2.3800,2.4322,2.2800,2.3500,2.3345,1379873,0.0000
2018-10-19,2.3000,2.4100,2.2400,2.3750,2.3593,2345268,0.0000
2018-10-12,2.2900,2.4500,2.1900,2.3000,2.2848,1883379,0.0000
2018-10-05,2.4400,2.4700,2.3000,2.3000,2.2848,1950432,0.0000
2018-09-28,2.5700,2.5900,2.4000,2.4700,2.4537,2234021,0.0000
2018-09-21,2.6000,2.7300,2.5400,2.5800,2.5630,1151412,0.0000
2018-09-14,2.6000,2.7200,2.5303,2.6200,2.6027,1159377,0.0000
2018-09-07,2.6400,2.6700,2.5500,2.6000,2.5828,1046237,0.0000
2018-08-31,2.6900,2.7700,2.6300,2.7000,2.6822,1187936,0.0000
2018-08-24,2.5500,2.7500,2.5300,2.6900,2.6722,2022975,0.0000
2018-08-17,2.7300,2.7600,2.4900,2.5400,2.5232,2575121,0.0000
2018-08-10,2.7900,2.8600,2.6900,2.7200,2.7020,1483046,0.0000
2018-08-03,2.6900,2.8400,2.6000,2.7700,2.7517,2106466,0.0000
2018-07-27,2.6500,2.7000,2.5600,2.6700,2.6524,1239615,0.0000
2018-07-20,2.8100,2.8100,2.5600,2.6500,2.6325,1579086,0.0000
2018-07-13,2.7800,2.8200,2.6800,2.7900,2.7716,1918674,0.0000
2018-07-06,2.6100,2.7600,2.6100,2.7400,2.7219,922495,0.0000
2018-06-29,2.8000,2.8400,2.6100,2.6700,2.6524,1271608,0.0000
2018-06-22,2.7100,2.8200,2.6300,2.8000,2.7815,1392659,0.0000
2018-06-15,2.8300,2.9700,2.6827,2.7200,2.7020,2120218,0.0000
2018-06-08,2.9400,2.9900,2.8100,2.8300,2.8113,1141722,0.0125
2018-06-01,2.9200,2.9700,2.7500,2.9300,2.8979,1343694,0.0000
2018-05-25,2.8900,3.1200,2.8500,2.9200,2.8880,1796701,0.0000
2018-05-18,2.8300,2.9400,2.6800,2.8900,2.8583,2126745,0.0000
2018-05-11,2.8000,2.8700,2.7300,2.8000,2.7693,1011518,0.0000
2018-05-04,2.8300,2.8500,2.6632,2.8000,2.7693,1355706,0.0000
2018-04-27,2.8300,2.9100,2.6800,2.8800,2.8484,1163687,0.0000
2018-04-20,2.7700,2.9700,2.6500,2.8700,2.8385,1871515,0.0000
2018-04-13,2.6300,2.7500,2.5652,2.7100,2.6803,1941944,0.0000
2018-04-06,2.7000,2.7200,2.5800,2.6300,2.6012,1479785,0.0000
2018-03-29,2.7700,2.8300,2.5601,2.6900,2.6605,1675531,0.0000
2018-03-23,2.6900,2.8300,2.5500,2.7100,2.6803,3814772,0.0000
2018-03-16,2.4800,2.6800,2.4300,2.6800,2.6506,2758397,0.0000
2018-03-09,2.4800,2.6300,2.4100,2.5400,2.5122,1430695,0.0000
