timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-12,34.8700,35.2600,33.9101,34.7000,34.7000,108250,0.0000
2019-04-05,34.1000,35.2250,34.0200,34.8800,34.8800,155427,0.0000
2019-03-29,32.1500,34.3300,32.0600,33.8100,33.8100,217213,0.0000
2019-03-22,35.9300,36.2250,32.0000,32.1200,32.1200,154050,0.0000
2019-03-15,35.0700,36.1200,34.9650,35.8800,35.8800,247768,0.2500
2019-03-08,36.1800,36.3800,34.5006,35.0200,34.7777,217634,0.0000
2019-03-01,36.9200,36.9800,34.7400,36.2000,35.9495,170476,0.0000
2019-02-22,36.3400,37.0100,36.2300,36.8200,36.5652,136640,0.0000
2019-02-15,35.4600,36.4428,35.4000,36.3900,36.1382,244536,0.0000
2019-02-08,34.8700,35.7800,34.8700,35.4600,35.2146,327878,0.0000
2019-02-01,35.1500,35.2500,34.0850,34.8800,34.6386,236647,0.0000
2019-01-25,33.8300,35.5350,32.4700,35.2300,34.9862,368101,0.0000
2019-01-18,33.8300,34.6800,33.3500,34.2300,33.9931,246301,0.0000
2019-01-11,34.1000,35.4900,33.3000,33.8700,33.6356,278740,0.0000
2019-01-04,32.8400,34.1300,32.4017,34.1000,33.8640,229486,0.0000
2018-12-28,30.3700,32.9500,30.2900,32.6400,32.4141,234321,0.0000
2018-12-21,29.4300,33.1264,29.4300,30.5100,30.2989,511036,0.0000
2018-12-14,28.7500,31.5950,28.0200,29.4700,29.2661,231308,0.2500
2018-12-07,31.6800,34.4800,28.5300,28.8700,28.4291,173731,0.0000
2018-11-30,31.5400,32.8100,30.5500,31.3500,30.8712,178218,0.0000
2018-11-23,31.8600,34.5200,31.1000,31.4900,31.0091,110123,0.0000
2018-11-16,31.8300,32.6067,30.8100,31.8800,31.3931,147704,0.0000
2018-11-09,32.0000,33.4500,31.1600,31.8200,31.3340,160034,0.0000
2018-11-02,30.0800,32.6900,30.0700,31.9900,31.5014,186130,0.0000
2018-10-26,33.0600,33.0600,29.6900,29.8300,29.3744,188518,0.0000
2018-10-19,33.6100,34.6000,32.9200,32.9800,32.4763,155110,0.0000
2018-10-12,35.5400,36.2500,33.3000,33.6500,33.1361,214937,0.0000
2018-10-05,36.4900,36.5400,35.1300,35.6400,35.0957,149537,0.0000
2018-09-28,37.0500,37.0500,35.7000,36.3000,35.7456,147466,0.0000
2018-09-21,37.1500,37.6000,36.7000,37.1500,36.5826,283869,0.0000
2018-09-14,38.9500,38.9858,37.2000,37.5500,36.9765,182704,0.2500
2018-09-07,38.7500,39.1000,38.2500,38.8000,37.9547,118661,0.0000
2018-08-31,38.8500,38.9000,38.2500,38.7000,37.8569,227213,0.0000
2018-08-24,38.0500,39.1000,37.9480,38.7000,37.8569,121164,0.0000
2018-08-17,37.7500,38.5000,37.4000,38.0500,37.2210,179255,0.0000
2018-08-10,37.7500,38.3500,37.5900,37.9000,37.0743,155689,0.0000
2018-08-03,38.4000,38.9000,37.4500,37.9000,37.0743,215037,0.0000
2018-07-27,38.5500,39.3500,37.6000,38.3500,37.5145,187627,0.0000
2018-07-20,38.8000,38.9500,38.0250,38.6000,37.7591,157633,0.0000
2018-07-13,39.0000,39.5500,38.1500,38.2500,37.4167,238623,0.0000
2018-07-06,38.1500,39.5000,38.1500,39.0000,38.1504,142009,0.0000
2018-06-29,39.7500,39.9500,38.1500,38.1500,37.3189,275394,0.0000
2018-06-22,39.5000,40.3500,39.1000,39.9500,39.0797,406247,0.0000
2018-06-15,40.5500,40.7500,39.2500,39.6000,38.7373,384488,0.2300
2018-06-08,40.1000,41.0000,39.7550,40.6000,39.4862,185093,0.0000
2018-06-01,39.3500,40.2000,38.6500,40.0000,38.9026,268826,0.0000
2018-05-25,39.7000,40.4750,38.0100,39.6000,38.5136,242801,0.0000
2018-05-18,38.8000,39.8500,38.3000,39.6500,38.5622,222231,0.0000
2018-05-11,38.0000,39.1500,37.7500,39.0000,37.9301,407293,0.0000
2018-05-04,38.5000,38.5000,37.0000,37.8500,36.8116,369089,0.0000
2018-04-27,36.2000,38.8500,36.0000,38.4000,37.3465,670136,0.0000
2018-04-20,35.9500,36.4000,35.1500,36.0500,35.0610,1048498,0.0000
2018-04-13,35.7000,36.3500,35.3500,35.7000,34.7206,233375,0.0000
2018-04-06,35.2000,36.2500,34.3500,35.5500,34.5747,244821,0.0000
2018-03-29,35.0000,36.0895,34.3500,35.1000,34.1370,255958,0.0000
2018-03-23,35.9500,36.6640,34.0000,34.0000,33.0672,309070,0.0000
2018-03-16,36.9000,37.2950,35.6000,35.8500,34.8665,293840,0.2300
2018-03-09,35.8000,37.3500,35.3500,36.9000,35.6589,280653,0.0000
2018-03-02,36.6000,37.2000,34.5500,35.9500,34.7408,204465,0.0000
