timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-12,1.0200,1.1000,1.0005,1.0400,1.0400,345741,0.0000
2019-04-05,1.0200,1.0496,0.9910,1.0300,1.0300,242254,0.0000
2019-03-29,0.9911,1.0593,0.9801,1.0200,1.0200,224362,0.0000
2019-03-22,1.0200,1.0400,0.9911,1.0100,1.0100,121125,0.0000
2019-03-15,1.0200,1.0300,0.9900,1.0200,1.0200,285314,0.0000
2019-03-08,1.0900,1.1100,0.9100,1.0200,1.0200,836376,0.0000
2019-03-01,1.1300,1.1400,1.0500,1.1000,1.1000,280790,0.0000
2019-02-22,1.0600,1.1200,1.0600,1.1200,1.1200,78970,0.0000
2019-02-15,1.1000,1.1200,1.0400,1.0900,1.0900,135001,0.0000
2019-02-08,1.0700,1.1000,1.0200,1.0700,1.0700,65601,0.0000
2019-02-01,1.0900,1.1200,1.0606,1.0800,1.0800,223138,0.0000
2019-01-25,1.1900,1.1900,1.0100,1.0900,1.0900,589132,0.0000
2019-01-18,1.2000,1.2500,1.1300,1.2000,1.2000,992450,0.0000
2019-01-11,1.2700,1.4300,1.1500,1.2100,1.2100,1672866,0.0000
2019-01-04,1.1200,1.3200,1.1200,1.2900,1.2900,791053,0.0000
2018-12-28,1.0000,1.1300,1.0000,1.1200,1.1200,629266,0.0000
2018-12-21,1.0200,1.1300,1.0000,1.0000,1.0000,899518,0.0000
2018-12-14,1.1200,1.1600,1.0200,1.0370,1.0370,571778,0.0000
2018-12-07,1.0800,1.1800,1.0600,1.1200,1.1200,860052,0.0000
2018-11-30,1.2700,1.2700,1.0500,1.0600,1.0600,816889,0.0000
2018-11-23,1.3600,1.4200,1.2279,1.2600,1.2600,528169,0.0000
2018-11-16,1.3600,1.5125,1.3100,1.3900,1.3900,1311999,0.0000
2018-11-09,1.2900,1.4400,1.2800,1.3700,1.3700,1492381,0.0000
2018-11-02,1.1900,1.3300,1.1200,1.3100,1.3100,1118473,0.0000
2018-10-26,1.2200,1.2300,1.1000,1.2000,1.2000,1107187,0.0000
2018-10-19,1.1900,1.4400,1.1300,1.2200,1.2200,3526578,0.0000
