timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-12,1.5000,1.5700,1.3400,1.3500,1.3500,4735409,0.0000
2019-04-05,1.6800,1.6960,1.4300,1.5100,1.5100,2417281,0.0000
2019-03-29,1.7100,1.8900,1.6100,1.7300,1.7300,4250177,0.0000
2019-03-22,1.5400,1.8400,1.5300,1.7000,1.7000,3847478,0.0000
2019-03-15,1.8700,1.9300,1.4300,1.5200,1.5200,8624506,0.0000
2019-03-08,1.6400,1.6900,1.3300,1.5500,1.5500,3413717,0.0000
2019-03-01,1.8000,1.8390,1.5000,1.6100,1.6100,5563551,0.0000
2019-02-22,2.0100,2.0900,1.6900,1.8000,1.8000,1557280,0.0000
2019-02-15,2.6800,2.6800,1.7800,2.0200,2.0200,6178127,0.0000
2019-02-08,2.6900,2.8180,2.5200,2.6900,2.6900,1051227,0.0000
2019-02-01,3.0400,3.3000,2.3700,2.7200,2.7200,6716181,0.0000
2019-01-25,2.9700,4.1300,2.7500,3.0400,3.0400,7771166,0.0000
2019-01-18,1.5500,5.5500,1.2500,2.9450,2.9450,33337141,0.0000
2019-01-11,1.0500,2.0800,1.0100,1.7400,1.7400,5780284,0.0000
2019-01-04,1.3400,1.3440,0.9600,1.0400,1.0400,489340,0.0000
2018-12-28,0.9500,1.2900,0.8200,1.1246,1.1246,401476,0.0000
2018-12-21,1.5100,1.9400,0.9500,0.9600,0.9600,1972111,0.0000
2018-12-14,3.0000,3.1700,1.5300,1.5400,1.5400,302318,0.0000
