timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-18,13.5900,13.7400,13.3500,13.4400,13.4400,1656459,0.0000
2019-04-12,14.3200,14.3700,13.0100,13.5600,13.5600,4458694,0.0000
2019-04-05,13.7900,14.4450,13.6400,14.3500,14.3500,4150493,0.0000
2019-03-29,13.6800,13.9800,13.5800,13.7400,13.7400,3180067,0.0000
2019-03-22,12.7000,14.2100,12.6900,13.6900,13.6900,7339064,0.2014
2019-03-15,12.3700,12.7200,12.3600,12.6000,12.4190,3545510,0.0000
2019-03-08,12.6100,12.6200,12.1900,12.3200,12.1430,2916839,0.0000
2019-03-01,12.5200,12.6700,12.4050,12.5900,12.4092,2657148,0.0000
2019-02-22,12.2800,12.5700,12.2500,12.4600,12.2810,1953458,0.0000
2019-02-15,12.1800,12.4031,12.0600,12.2700,12.0938,2041636,0.0000
2019-02-08,11.9500,12.2600,11.8700,12.1500,11.9755,2816184,0.0000
2019-02-01,11.4300,11.9600,11.3200,11.9600,11.7882,3234809,0.0000
2019-01-25,11.5700,11.6000,11.2500,11.3900,11.2264,2545360,0.0000
2019-01-18,11.5500,11.8200,11.4400,11.5900,11.4235,3284167,0.0000
2019-01-11,11.5400,11.7500,11.1900,11.6300,11.4629,6167370,0.0000
2019-01-04,11.1100,11.4300,10.9600,11.3600,11.1968,2270109,0.0000
2018-12-28,10.6100,11.0900,10.3300,11.0200,10.8617,2601236,0.0000
2018-12-21,11.5300,11.5500,10.6000,10.6100,10.4576,5373309,0.0000
2018-12-14,11.4200,11.6850,11.3200,11.5000,11.3348,2842375,0.0000
2018-12-07,11.5900,11.7600,11.2250,11.4200,11.2560,2787268,0.0000
2018-11-30,11.3500,11.6600,11.3000,11.5000,11.3348,2186386,0.1900
2018-11-23,11.2500,11.4700,11.1400,11.3100,10.9664,1492700,0.0000
2018-11-16,11.0600,11.2400,10.7900,11.2200,10.8791,3378084,0.0000
2018-11-09,11.4300,11.9300,10.6300,11.0650,10.7288,2655817,0.0000
2018-11-02,11.0000,11.4500,10.9400,11.3900,11.0439,2294622,0.0000
2018-10-26,11.1400,11.2200,10.7600,10.9200,10.5882,2285748,0.0000
2018-10-19,11.0300,11.5000,10.9800,11.1200,10.7821,2556075,0.0000
2018-10-12,11.1200,11.4300,10.8400,10.9800,10.6464,2350554,0.0000
2018-10-05,11.5800,11.9000,11.0850,11.1300,10.7918,2584007,0.0000
2018-09-28,11.8600,11.8600,11.3700,11.5500,11.1991,2311387,0.0000
2018-09-21,11.8200,11.9800,11.6100,11.8600,11.4997,3921716,0.0000
2018-09-14,11.0300,11.9250,10.9200,11.8300,11.4706,3779473,0.0000
2018-09-07,11.1900,11.2300,10.9150,11.0000,10.6658,1918372,0.0000
2018-08-31,11.1300,11.5800,11.1000,11.1800,10.8403,4993193,0.1900
2018-08-24,11.3300,11.4900,11.0000,11.1000,10.5829,3257955,0.0000
2018-08-17,10.6400,11.3250,10.3600,11.2500,10.7259,4733362,0.0000
2018-08-10,10.4500,10.8300,10.4100,10.6500,10.1539,2980592,0.0000
2018-08-03,10.0500,10.5100,9.9600,10.4600,9.9727,3224243,0.0000
2018-07-27,10.6800,10.8025,9.9000,9.9700,9.5055,3211341,0.0000
2018-07-20,10.9500,11.1300,10.3800,10.6500,10.1539,4251471,0.0000
2018-07-13,11.9500,11.9900,10.8720,10.9300,10.4208,3757926,0.0000
2018-07-06,11.6600,11.9550,11.5500,11.8600,11.3075,2887478,0.0000
2018-06-29,11.6600,11.8850,11.5300,11.7000,11.1549,5563407,0.0000
2018-06-22,11.5100,11.8300,11.4700,11.7500,11.2026,5657098,0.0000
2018-06-15,10.8300,11.6800,10.7100,11.5500,11.0119,4324492,0.0000
2018-06-08,11.0000,11.0800,10.7150,10.7800,10.2778,2547807,0.0000
2018-06-01,10.9600,11.4050,10.8500,11.0000,10.4875,3789766,0.1900
2018-05-25,11.0500,11.0600,10.8400,10.9600,10.2737,2324172,0.0000
2018-05-18,11.2200,11.3600,10.9400,11.0500,10.3581,2898351,0.0000
2018-05-11,11.1000,11.6600,10.9600,11.2100,10.5081,3895007,0.0000
2018-05-04,11.1200,11.5800,10.7300,10.9700,10.2831,3161665,0.0000
2018-04-27,11.0400,11.2900,10.9400,11.0900,10.3956,1538658,0.0000
2018-04-20,11.1200,11.2490,10.8800,10.9900,10.3018,2004964,0.0000
2018-04-13,11.3100,11.3100,10.9800,11.0800,10.3862,1498050,0.0000
2018-04-06,10.7400,11.3999,10.5700,11.2200,10.5174,3530276,0.0000
2018-03-29,10.7700,10.9600,10.6900,10.7300,10.0581,1465264,0.0000
2018-03-23,11.1700,11.1700,10.6400,10.6800,10.0112,3627133,0.0000
2018-03-16,11.5500,11.6600,10.8100,11.2500,10.5456,4941603,0.0000
2018-03-09,11.2900,11.9200,11.2900,11.5700,10.8455,1680736,0.0000
2018-03-02,12.0300,12.1400,11.0500,11.2800,10.5737,1681928,0.1900
2018-02-23,11.5600,12.0300,11.5300,11.9700,11.0404,1393153,0.0000
2018-02-16,11.1800,11.6700,11.1100,11.5800,10.6807,1738943,0.0000
2018-02-09,10.9600,11.3598,10.0200,11.1800,10.3118,3530431,0.0000
2018-02-02,11.2400,11.2500,10.7000,10.9700,10.1181,1409956,0.0000
2018-01-26,11.0000,11.3400,10.9900,11.2300,10.3579,1466697,0.0000
2018-01-19,11.4900,11.5100,10.8900,10.9600,10.1088,1156210,0.0000
2018-01-12,11.3100,11.7500,11.1200,11.4300,10.5423,2189744,0.0000
2018-01-05,12.0400,12.1100,11.2200,11.2600,10.3856,1337997,0.0000
