timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-16,3.9800,4.1400,3.7500,3.8200,3.8200,6179964,0.0000
2019-04-12,4.9600,4.9850,3.9200,4.0400,4.0400,22518211,0.0000
2019-04-05,4.5500,5.2600,4.4600,4.9600,4.9600,17737443,0.0000
2019-03-29,4.5700,4.9700,4.3000,4.5500,4.5500,18504934,0.0000
2019-03-22,5.2000,5.9300,4.3900,4.6100,4.6100,33264505,0.0000
2019-03-15,3.9500,5.2850,3.9000,5.2100,5.2100,39313182,0.0000
2019-03-08,3.9400,3.9650,3.5300,3.9000,3.9000,12525312,0.0000
2019-03-01,3.9400,4.1050,3.4700,3.9700,3.9700,13372231,0.0000
2019-02-22,3.7200,3.9600,3.3500,3.9100,3.9100,11571620,0.0000
2019-02-15,2.8700,3.7550,2.7800,3.7300,3.7300,15969879,0.0000
2019-02-08,2.6700,3.0200,2.6500,2.8500,2.8500,10133722,0.0000
2019-02-01,2.3600,2.6750,2.3510,2.6400,2.6400,8188732,0.0000
2019-01-25,2.2800,2.3500,2.1200,2.3100,2.3100,3102198,0.0000
2019-01-18,2.2500,2.3600,2.2000,2.3400,2.3400,4735032,0.0000
2019-01-11,2.0200,2.3000,1.9900,2.2300,2.2300,6329056,0.0000
2019-01-04,1.6400,2.0000,1.6000,1.9700,1.9700,3205888,0.0000
2018-12-28,1.5500,1.6600,1.4500,1.6400,1.6400,2693764,0.0000
2018-12-21,1.6300,1.6600,1.4500,1.5700,1.5700,5619931,0.0000
2018-12-14,1.7200,1.7600,1.5500,1.6300,1.6300,3343267,0.0000
2018-12-07,1.8900,1.9200,1.6400,1.7200,1.7200,2886618,0.0000
2018-11-30,1.9500,1.9500,1.6600,1.8600,1.8600,3362524,0.0000
2018-11-23,2.0000,2.0100,1.7250,1.9100,1.9100,3470824,0.0000
2018-11-16,2.1500,2.2400,1.8103,2.0300,2.0300,6183191,0.0000
2018-11-09,2.1500,2.3599,2.0500,2.2200,2.2200,5540422,0.0000
2018-11-02,2.2300,2.2750,2.0500,2.1500,2.1500,4039357,0.0000
2018-10-26,2.4100,2.4600,2.1600,2.2300,2.2300,5744759,0.0000
2018-10-19,2.5500,2.6300,2.4500,2.4700,2.4700,4723119,0.0000
2018-10-12,2.7400,2.7800,2.5000,2.5500,2.5500,6851930,0.0000
2018-10-05,3.0000,3.0500,2.6300,2.6700,2.6700,6307291,0.0000
2018-09-28,3.0000,3.0500,2.8600,3.0000,3.0000,6910459,0.0000
2018-09-21,2.9000,2.9900,2.7500,2.8300,2.8300,6043860,0.0000
2018-09-14,2.7000,2.9000,2.6216,2.8100,2.8100,4954210,0.0000
2018-09-07,2.8100,2.8500,2.6100,2.7000,2.7000,4400178,0.0000
2018-08-31,2.5000,2.9500,2.5000,2.7600,2.7600,8994125,0.0000
2018-08-24,2.5300,2.6300,2.4600,2.5600,2.5600,4130829,0.0000
2018-08-17,2.6100,2.6400,2.3700,2.5600,2.5600,5630829,0.0000
2018-08-10,3.3000,3.3600,2.5200,2.6600,2.6600,14624950,0.0000
2018-08-03,2.9400,3.0500,2.8100,2.9200,2.9200,5729683,0.0000
2018-07-27,2.6600,3.0700,2.6000,2.9200,2.9200,9624433,0.0000
2018-07-20,2.3600,2.7400,2.2800,2.5900,2.5900,8833485,0.0000
2018-07-13,2.4700,2.5100,2.3500,2.3700,2.3700,5204580,0.0000
2018-07-06,2.4900,2.5100,2.3600,2.4600,2.4600,2883671,0.0000
2018-06-29,2.5800,2.5900,2.3100,2.5000,2.5000,4427650,0.0000
2018-06-22,2.7000,2.7000,2.4250,2.6000,2.6000,5099035,0.0000
2018-06-15,2.3500,2.6800,2.3200,2.6500,2.6500,10076809,0.0000
2018-06-08,2.4400,2.4490,2.1100,2.3300,2.3300,7288820,0.0000
2018-06-01,2.4000,2.4738,2.3500,2.4200,2.4200,3133243,0.0000
2018-05-25,2.4300,2.4498,2.3300,2.4000,2.4000,3537437,0.0000
2018-05-18,2.5800,2.5800,2.3200,2.4200,2.4200,6608020,0.0000
2018-05-11,2.8500,3.1500,2.2200,2.5400,2.5400,15977210,0.0000
2018-05-04,2.8800,3.0100,2.7500,2.8200,2.8200,8163153,0.0000
2018-04-27,2.5600,2.8299,2.4700,2.7800,2.7800,7102628,0.0000
2018-04-20,2.3500,2.7201,2.2700,2.5200,2.5200,8255090,0.0000
2018-04-13,2.4000,2.4600,2.2500,2.3100,2.3100,5233158,0.0000
2018-04-06,2.4000,2.4500,1.9500,2.2900,2.2900,11946091,0.0000
2018-03-29,3.2400,3.3295,2.4000,2.4400,2.4400,12744331,0.0000
2018-03-23,2.9000,3.5900,2.8300,3.1300,3.1300,23299458,0.0000
2018-03-16,2.9100,2.9800,2.7200,2.8600,2.8600,6196433,0.0000
2018-03-09,2.3100,3.0400,2.2300,2.8500,2.8500,15080220,0.0000
2018-03-02,1.9600,2.3400,1.9300,2.2500,2.2500,9016892,0.0000
2018-02-23,2.0800,2.1200,1.8400,1.9400,1.9400,3375326,0.0000
2018-02-16,1.9900,2.1490,1.8400,2.0200,2.0200,6525597,0.0000
2018-02-09,1.7600,2.1135,1.5400,1.8800,1.8800,9464843,0.0000
2018-02-02,2.2600,2.3200,1.8000,1.8900,1.8900,7576219,0.0000
2018-01-26,2.4500,2.4500,2.1000,2.2600,2.2600,12398816,0.0000
2018-01-19,2.2800,2.5090,2.2100,2.3300,2.3300,10163184,0.0000
2018-01-12,2.7100,2.7400,2.2100,2.3800,2.3800,29020018,0.0000
2018-01-05,2.4000,3.3900,2.1300,2.8300,2.8300,88817858,0.0000
2017-12-29,1.3800,3.1500,1.3500,2.0700,2.0700,127470504,0.0000
2017-12-22,0.8690,1.9600,0.8560,1.2700,1.2700,123333617,0.0000
2017-12-15,0.7900,0.8398,0.6610,0.7900,0.7900,19668404,0.0000
2017-12-08,0.9170,0.9170,0.5400,0.7990,0.7990,13552902,0.0000
2017-12-01,1.3300,1.5600,0.8600,0.8999,0.8999,77198892,0.0000
2017-11-24,0.8500,1.0300,0.8200,0.9169,0.9169,4010172,0.0000
2017-11-17,0.8900,0.9800,0.8100,0.8100,0.8100,3606666,0.0000
2017-11-10,1.0900,1.1300,0.8000,0.8800,0.8800,7166571,0.0000
2017-11-03,1.1700,1.2600,1.0500,1.1100,1.1100,5410765,0.0000
2017-10-27,1.2800,1.3500,1.0800,1.1500,1.1500,5785670,0.0000
2017-10-20,1.2000,1.4100,1.0000,1.0800,1.0800,2993462,0.0000
2017-10-13,1.1000,1.3500,1.0700,1.2000,1.2000,3329025,0.0000
