timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-12,7.2863,7.9600,5.1231,5.7700,5.7700,20697,0.0000
2019-04-05,5.0200,8.0417,5.0000,7.2863,7.2863,24876,0.0000
2019-03-29,6.0900,7.6000,5.9200,6.0500,6.0500,8401,0.0000
2019-03-22,5.3000,6.4600,5.0000,5.8100,5.8100,1456,0.0000
2019-03-15,5.6000,5.6000,5.3000,5.3000,5.3000,402,0.0000
2019-03-08,5.0000,6.1600,5.0000,5.6000,5.6000,619,0.0000
2019-03-01,5.5300,5.9800,5.0000,5.0000,5.0000,5206,0.0000
2019-02-22,5.9500,6.5000,5.0500,5.8000,5.8000,5542,0.0000
2019-02-15,6.1417,6.1514,5.2100,6.0500,6.0500,11087,0.0000
2019-02-08,6.7500,6.7500,6.4950,6.4950,6.4950,3369,0.0000
2019-02-01,6.7500,7.0000,6.5000,6.7500,6.7500,13748,0.0000
2019-01-25,6.3253,6.9675,5.1600,6.7500,6.7500,12350,0.0000
2019-01-18,6.6400,7.2300,6.5300,6.9500,6.9500,883,0.0000
2019-01-11,6.7500,7.4400,6.6400,6.6400,6.6400,5329,0.0000
2019-01-04,7.4500,7.4500,6.8000,7.0000,7.0000,1758,0.0000
2018-12-28,8.1000,8.1000,5.6300,6.7000,6.7000,6474,0.0000
2018-12-21,8.8000,8.8000,6.7800,7.1892,7.1892,24895,0.0000
2018-12-14,7.9900,8.8800,6.9900,8.0000,8.0000,25161,0.0000
2018-12-07,7.7000,8.4900,6.6100,8.0000,8.0000,24536,0.0000
2018-11-30,9.7000,9.7000,7.0000,7.8500,7.8500,27048,0.0000
