timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-12,61.2800,66.9700,60.4100,66.4400,66.4400,364165,0.0000
2019-04-05,62.6500,63.0000,59.1750,61.5600,61.5600,330787,0.0000
2019-03-29,61.3400,63.3400,60.5800,62.0900,62.0900,259597,0.0000
2019-03-22,60.8600,64.1500,60.7200,61.0700,61.0700,432274,0.0000
2019-03-15,61.5600,62.7300,60.5000,60.6700,60.6700,401189,0.0000
2019-03-08,63.4400,63.9900,60.5800,61.2700,61.2700,261215,0.0000
2019-03-01,65.0000,65.2100,61.3600,63.3900,63.3900,517575,0.2200
2019-02-22,62.4300,64.9200,60.2800,64.5200,64.2964,581837,0.0000
2019-02-15,60.7400,63.5800,60.1550,62.6800,62.4628,348360,0.0000
2019-02-08,59.3900,61.6300,59.0350,60.6000,60.3900,293897,0.0000
2019-02-01,56.5500,59.7700,54.8700,59.3300,59.1244,330811,0.0000
2019-01-25,57.3900,57.6000,55.0000,57.3700,57.1712,167946,0.0000
2019-01-18,55.9500,58.9500,54.9800,57.9700,57.7691,256640,0.0000
2019-01-11,52.7200,56.4750,52.5050,56.4000,56.2045,272820,0.0000
2019-01-04,50.4300,53.8000,50.1150,52.7200,52.5373,284082,0.0000
2018-12-28,49.2900,52.8377,48.9700,51.2300,51.0525,292782,0.0000
2018-12-21,53.9800,55.6100,49.6400,49.9300,49.7570,748266,0.0000
2018-12-14,55.5800,57.5800,53.6600,54.4300,54.2414,476595,0.0000
2018-12-07,60.9400,61.3100,54.8200,55.5500,55.3575,442410,0.0000
2018-11-30,59.8900,61.2000,58.3100,59.8500,59.6426,345059,0.2200
2018-11-23,60.1700,61.4450,58.0850,59.2400,58.8168,230726,0.0000
2018-11-16,63.0900,63.0900,58.2800,60.1900,59.7600,273059,0.0000
2018-11-09,62.6300,65.2000,61.4500,63.1400,62.6890,271196,0.0000
2018-11-02,62.3100,64.8200,58.5850,62.5500,62.1032,338670,0.0000
2018-10-26,64.3200,67.2120,60.3016,61.1400,60.7032,375599,0.0000
2018-10-19,64.9100,68.7700,63.8500,64.0200,63.5627,306456,0.0000
