timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-12,1.9600,2.0500,1.9200,1.9500,1.9500,43730,0.0000
2019-04-05,2.0100,2.0100,1.9088,2.0100,2.0100,65421,0.0000
2019-03-29,2.0300,2.0300,1.8450,2.0000,2.0000,105715,0.0000
2019-03-22,2.0100,2.0700,1.9800,2.0000,2.0000,77702,0.0000
2019-03-15,1.9800,2.1202,1.9700,2.0300,2.0300,92177,0.0000
2019-03-08,2.0027,2.1400,1.9600,1.9800,1.9800,126224,0.0000
2019-03-01,2.0800,2.1500,1.9500,2.0300,2.0300,71037,0.0000
2019-02-22,2.0900,2.1800,2.0100,2.1300,2.1300,53210,0.0000
2019-02-15,1.9400,2.1900,1.9000,2.1800,2.1800,130285,0.0000
2019-02-08,2.2000,2.2000,1.9300,1.9400,1.9400,63406,0.0000
2019-02-01,2.2363,2.2800,2.0000,2.0700,2.0700,68963,0.0000
2019-01-25,2.1800,2.3900,2.1000,2.1200,2.1200,201492,0.0000
2019-01-18,1.9800,2.2800,1.9400,2.1300,2.1300,71722,0.0000
2019-01-11,1.8700,2.0400,1.7600,1.9950,1.9950,148617,0.0000
2019-01-04,1.7500,2.0300,1.6100,1.8500,1.8500,91452,0.0000
2018-12-28,1.7500,1.8899,1.6000,1.7500,1.7500,182351,0.0000
2018-12-21,2.2000,2.2600,1.6327,1.7700,1.7700,83857,0.0000
2018-12-14,2.1700,2.3187,2.0600,2.2000,2.2000,84273,0.0000
2018-12-07,2.1600,2.4086,2.1000,2.1500,2.1500,1032981,0.0000
2018-11-30,2.1900,2.2500,2.0500,2.1700,2.1700,33212,0.0000
2018-11-23,2.1100,2.2000,2.0400,2.2000,2.2000,41047,0.0000
2018-11-16,2.1500,2.2200,2.0100,2.2000,2.2000,75170,0.0000
2018-11-09,2.1600,2.2900,2.1200,2.1500,2.1500,52689,0.0000
2018-11-02,2.1900,2.3900,2.1200,2.1500,2.1500,81744,0.0000
2018-10-26,2.1900,2.3100,2.0200,2.3100,2.3100,287779,0.0000
2018-10-19,2.0600,2.2500,2.0346,2.1800,2.1800,126862,0.0000
2018-10-12,2.0900,2.3000,2.0100,2.0500,2.0500,77864,0.0000
2018-10-05,1.9600,2.1250,1.9500,2.0900,2.0900,262283,0.0000
2018-09-28,2.0500,2.2500,2.0000,2.0000,2.0000,91232,0.0000
2018-09-21,2.0000,2.0500,1.9500,2.0500,2.0500,129319,0.0000
2018-09-14,2.3000,2.3500,1.9500,2.0000,2.0000,103594,0.0000
2018-09-07,2.2500,2.4000,2.2000,2.2750,2.2750,49837,0.0000
