timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-23,2.4746,2.4825,2.4700,2.4750,2.4750,146503,0.0000
2019-04-18,2.4700,2.4850,2.4700,2.4800,2.4800,315426,0.0000
2019-04-12,2.4800,2.5000,2.4700,2.4800,2.4800,862518,0.0000
2019-04-05,2.4900,2.4900,2.4700,2.4800,2.4800,608848,0.0000
2019-03-29,2.4900,2.4900,2.4600,2.4900,2.4900,495461,0.0000
2019-03-22,2.4800,2.4900,2.4700,2.4800,2.4800,668038,0.0000
2019-03-15,2.4800,2.5000,2.4800,2.4800,2.4800,290190,0.0000
2019-03-08,2.4850,2.5000,2.4800,2.4800,2.4800,333163,0.0000
2019-03-01,2.4800,2.4900,2.4800,2.4900,2.4900,66541,0.0000
2019-02-22,2.4800,2.5000,2.4700,2.4800,2.4800,621036,0.0000
2019-02-15,2.4700,2.5000,2.4700,2.4800,2.4800,400914,0.0000
2019-02-08,2.4800,2.4800,2.4600,2.4700,2.4700,148174,0.0000
2019-02-01,2.4600,2.4800,2.4600,2.4800,2.4800,204909,0.0000
2019-01-25,2.4500,2.4700,2.4300,2.4600,2.4600,275313,0.0000
2019-01-18,2.4500,2.4500,2.4200,2.4400,2.4400,43911,0.0000
2019-01-11,2.4200,2.4500,2.4100,2.4500,2.4500,103635,0.0000
2019-01-04,2.4000,2.4500,2.3800,2.4300,2.4300,173819,0.0000
2018-12-28,2.3800,2.4100,2.3800,2.4100,2.4100,116705,0.0000
2018-12-21,2.4100,2.4250,2.3800,2.3900,2.3900,259790,0.0000
2018-12-14,2.4328,2.4500,2.4100,2.4300,2.4300,96170,0.0000
2018-12-07,2.4500,2.4500,2.4100,2.4300,2.4300,157766,0.0000
2018-11-30,2.3900,2.4300,2.3800,2.4200,2.4200,336780,0.0000
2018-11-23,2.4000,2.4000,2.3900,2.3900,2.3900,53198,0.0000
2018-11-16,2.4000,2.4100,2.3700,2.3800,2.3800,456976,0.0000
2018-11-09,2.4300,2.4400,2.3185,2.4000,2.4000,1696384,0.0000
2018-11-02,2.4100,2.4300,2.4100,2.4300,2.4300,185857,0.0000
2018-10-26,2.4100,2.4300,2.4100,2.4150,2.4150,119543,0.0000
2018-10-19,2.4200,2.4500,2.4100,2.4100,2.4100,127645,0.0000
2018-10-12,2.4200,2.4500,2.4100,2.4200,2.4200,120346,0.0000
2018-10-05,2.4100,2.4200,2.4000,2.4140,2.4140,646807,0.0000
2018-09-28,2.4000,2.4200,2.3900,2.3900,2.3900,831332,0.0000
2018-09-21,2.2700,2.4800,2.2700,2.3900,2.3900,1821191,0.0000
2018-09-14,2.2500,2.3800,2.2100,2.2900,2.2900,530751,0.0000
2018-09-07,2.3100,2.3964,2.2200,2.2500,2.2500,320234,0.0000
2018-08-31,2.5000,2.5000,2.3000,2.3300,2.3300,366750,0.0000
2018-08-24,2.2600,2.6000,2.2500,2.4600,2.4600,623960,0.0000
2018-08-17,2.2100,2.3400,2.1100,2.2500,2.2500,133640,0.0000
2018-08-10,2.2500,2.4000,2.1800,2.2600,2.2600,464943,0.0000
2018-08-03,2.0000,2.1800,1.9900,2.1500,2.1500,295442,0.0000
2018-07-27,1.9500,2.0900,1.9500,2.0500,2.0500,117909,0.0000
2018-07-20,2.0710,2.0710,1.9300,1.9500,1.9500,111036,0.0000
2018-07-13,1.8100,2.2000,1.8100,1.9900,1.9900,401382,0.0000
2018-07-06,2.0500,2.0500,1.8000,1.8200,1.8200,278441,0.0000
2018-06-29,2.1000,2.2000,1.9200,2.0000,2.0000,304865,0.0000
2018-06-22,2.1800,2.1999,2.0800,2.1200,2.1200,71349,0.0000
2018-06-15,2.1600,2.1800,2.1000,2.1600,2.1600,99673,0.0000
2018-06-08,2.2600,2.2600,2.0900,2.1600,2.1600,90511,0.0000
2018-06-01,2.2500,2.4000,2.1200,2.2800,2.2800,84459,0.0000
2018-05-25,2.4000,2.4400,2.0800,2.2460,2.2460,113031,0.0000
