timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-16,1.4500,1.4800,1.4200,1.4400,1.4400,81157,0.0000
2019-04-12,1.4400,1.5400,1.4200,1.4200,1.4200,427678,0.0000
2019-04-05,1.4400,1.5000,1.3600,1.4500,1.4500,584215,0.0000
2019-03-29,1.5700,1.5800,1.4415,1.4600,1.4600,308236,0.0000
2019-03-22,1.4500,1.7000,1.4100,1.5900,1.5900,1688181,0.0000
2019-03-15,1.3600,1.4900,1.3600,1.4900,1.4900,484963,0.0000
2019-03-08,1.4700,1.5200,1.3625,1.3900,1.3900,272087,0.0000
2019-03-01,1.3000,1.5000,1.1800,1.4500,1.4500,1346537,0.0000
2019-02-22,1.3100,1.4000,1.2000,1.3000,1.3000,612460,0.0000
2019-02-15,1.5700,1.5795,1.2602,1.3300,1.3300,1206004,0.0000
2019-02-08,1.5500,1.6900,1.4400,1.4900,1.4900,634842,0.0000
2019-02-01,1.3700,1.6000,1.3700,1.5300,1.5300,537978,0.0000
2019-01-25,1.3100,1.4415,1.2700,1.4000,1.4000,262130,0.0000
2019-01-18,1.4900,1.5500,1.3300,1.3400,1.3400,263026,0.0000
2019-01-11,1.3500,1.6500,1.3500,1.4000,1.4000,587033,0.0000
2019-01-04,1.3000,1.4500,1.2700,1.3501,1.3501,222108,0.0000
2018-12-28,1.3300,1.4000,1.2700,1.3000,1.3000,360076,0.0000
2018-12-21,1.3500,1.5100,1.3100,1.3400,1.3400,819038,0.0000
2018-12-14,1.3800,1.5200,1.2800,1.3500,1.3500,312396,0.0000
2018-12-07,1.5100,1.5353,1.3800,1.3800,1.3800,510086,0.0000
2018-11-30,1.3400,1.5900,1.3100,1.5000,1.5000,459622,0.0000
2018-11-23,1.3610,1.3732,1.3000,1.3400,1.3400,73340,0.0000
2018-11-16,1.4000,1.4900,1.3600,1.3600,1.3600,243864,0.0000
2018-11-09,1.3900,1.4900,1.3600,1.3900,1.3900,321513,0.0000
2018-11-02,1.3099,1.4100,1.2000,1.4000,1.4000,299656,0.0000
2018-10-26,1.3500,1.3700,1.2100,1.2800,1.2800,255089,0.0000
2018-10-19,1.4800,1.5400,1.3300,1.3600,1.3600,187678,0.0000
2018-10-12,1.4000,1.4900,1.2900,1.4400,1.4400,602346,0.0000
2018-10-05,1.4400,1.4700,1.2501,1.4100,1.4100,723523,0.0000
2018-09-28,1.8000,1.8600,1.3600,1.4200,1.4200,818136,0.0000
2018-09-21,1.7200,1.8800,1.7200,1.7900,1.7900,512637,0.0000
2018-09-14,1.9800,2.0700,1.4900,1.7800,1.7800,1557602,0.0000
2018-09-07,2.0000,2.0175,1.8250,1.9400,1.9400,818161,0.0000
2018-08-31,2.1900,2.2000,1.8500,1.9900,1.9900,932842,0.0000
2018-08-24,2.0800,2.1000,2.0200,2.0300,2.0300,234940,0.0000
2018-08-17,2.1600,2.1882,1.9400,2.0800,2.0800,280539,0.0000
2018-08-10,1.9500,2.2999,1.9000,2.1800,2.1800,643500,0.0000
2018-08-03,2.0300,2.0300,1.8400,1.9400,1.9400,298189,0.0000
2018-07-27,2.0400,2.0900,1.9500,2.0200,2.0200,297389,0.0000
2018-07-20,2.0800,2.1600,2.0100,2.0500,2.0500,286981,0.0000
2018-07-13,2.0300,2.1000,1.9824,2.0800,2.0800,808563,0.0000
2018-07-06,2.0300,2.1800,1.9200,2.0200,2.0200,879320,0.0000
2018-06-29,2.2700,2.2700,1.9701,2.0200,2.0200,997288,0.0000
2018-06-22,2.2200,2.3700,2.0300,2.2500,2.2500,510068,0.0000
2018-06-15,1.9800,2.3438,1.9600,2.2900,2.2900,1233491,0.0000
2018-06-08,2.0600,2.0600,1.8700,1.9700,1.9700,450423,0.0000
2018-06-01,1.9800,2.1000,1.9715,2.0600,2.0600,532727,0.0000
2018-05-25,1.7811,1.9900,1.7300,1.9800,1.9800,321749,0.0000
2018-05-18,1.6300,1.8600,1.6000,1.7900,1.7900,414052,0.0000
2018-05-11,1.9010,1.9200,1.4500,1.6400,1.6400,671847,0.0000
2018-05-04,2.0000,2.1000,1.8537,1.9000,1.9000,901692,0.0000
2018-04-27,1.7700,2.0300,1.7500,1.9600,1.9600,484611,0.0000
2018-04-20,1.8100,1.8400,1.7700,1.7700,1.7700,199810,0.0000
2018-04-13,1.8200,1.8700,1.7600,1.8100,1.8100,284030,0.0000
2018-04-06,1.8100,1.9300,1.7000,1.8200,1.8200,919529,0.0000
2018-03-29,1.7200,1.8736,1.6500,1.8100,1.8100,319425,0.0000
2018-03-23,1.9500,2.2500,1.7000,1.7100,1.7100,2032265,0.0000
2018-03-16,1.9000,2.0249,1.6414,1.9700,1.9700,1189338,0.0000
2018-03-09,1.3600,1.9400,1.3600,1.8200,1.8200,1062720,0.0000
2018-03-02,1.3500,1.5300,1.3300,1.3700,1.3700,540450,0.0000
2018-02-23,1.3100,1.3500,1.2800,1.3400,1.3400,176703,0.0000
2018-02-16,1.3100,1.3500,1.2800,1.3400,1.3400,241880,0.0000
2018-02-09,1.2100,1.3968,1.1800,1.3000,1.3000,351539,0.0000
