timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-16,36.4100,37.5400,35.9400,37.1100,37.1100,121886,0.0000
2019-04-12,34.8400,37.2200,34.8400,36.0400,36.0400,238705,0.0000
2019-04-05,32.9600,35.2200,32.7000,34.9100,34.9100,146351,0.0000
2019-03-29,31.9300,35.4100,31.9300,32.4500,32.4500,350829,0.0000
2019-03-22,33.9800,34.2399,30.5600,30.8500,30.8500,174651,0.0000
2019-03-15,33.5500,35.0000,33.3000,33.8600,33.8600,156128,0.2000
2019-03-08,34.5000,34.8200,33.3200,33.5900,33.3944,71075,0.0000
2019-03-01,34.7500,34.7600,33.5300,34.5000,34.2991,106880,0.0000
2019-02-22,34.5600,35.3400,34.3000,34.6600,34.4581,74996,0.0000
2019-02-15,34.7100,35.3500,34.0203,34.5600,34.3587,108143,0.0000
2019-02-08,33.5600,34.9000,32.5400,34.5100,34.3090,168797,0.0000
2019-02-01,32.9400,34.7500,32.2300,33.5300,33.3347,143131,0.0000
2019-01-25,33.0100,33.5000,31.8700,32.9800,32.7879,169658,0.0000
2019-01-18,32.4200,33.4500,32.1800,33.1200,32.9271,133491,0.0000
2019-01-11,29.9500,32.5900,29.7200,32.3700,32.1815,173125,0.0000
2019-01-04,28.4200,29.9800,27.2800,29.8400,29.6662,345238,0.0000
2018-12-28,27.6800,30.0100,27.0100,28.6200,28.4533,229505,0.0000
2018-12-21,31.2400,31.3100,28.0100,28.1200,27.9562,424039,0.0000
2018-12-14,33.3100,33.3100,31.1225,31.2500,31.0680,305489,0.2000
2018-12-07,34.4500,34.6747,32.6500,33.3100,32.9054,126464,0.0000
2018-11-30,35.4300,36.0800,33.4200,34.0600,33.6463,113602,0.0000
2018-11-23,36.0700,36.8235,34.0300,35.2300,34.8021,128280,0.0000
2018-11-16,35.5800,37.7100,34.7189,37.0400,36.5901,141804,0.0000
2018-11-09,35.5500,36.3500,34.6500,35.4100,34.9799,111469,0.0000
2018-11-02,34.6400,37.1450,34.6400,35.8600,35.4244,136763,0.0000
2018-10-26,36.7300,37.3600,33.3730,34.3500,33.9328,186280,0.0000
2018-10-19,34.3900,38.0000,34.2950,36.8900,36.4419,161375,0.0000
2018-10-12,35.6864,36.4300,34.3700,34.4100,33.9920,135770,0.0000
2018-10-05,36.5500,36.9900,35.5300,35.8000,35.3652,134957,0.0000
2018-09-28,34.5000,37.5000,34.5000,36.5500,36.1060,294509,0.0000
2018-09-21,33.5500,35.4000,33.2105,34.4000,33.9822,290930,0.0000
2018-09-14,33.8500,33.8500,32.6500,33.5500,33.1425,301628,0.2000
2018-09-07,33.6500,33.7000,32.5000,33.3000,32.7006,110846,0.0000
2018-08-31,36.1000,36.1000,33.3500,33.7000,33.0934,256554,0.0000
2018-08-24,35.7500,37.5500,35.5501,35.9000,35.2538,196928,0.0000
2018-08-17,35.9000,36.1500,35.2500,35.7000,35.0574,180637,0.0000
