timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-16,8.8700,8.9800,8.7600,8.8200,8.8200,203304,0.0000
2019-04-12,8.9800,9.1000,8.7800,8.8600,8.8600,759489,0.0000
2019-04-05,8.6100,9.1000,8.4600,8.9900,8.9900,741619,0.0000
2019-03-29,8.4900,8.6600,8.1950,8.5200,8.5200,992833,0.0000
2019-03-22,9.2000,9.2400,8.4700,8.5200,8.5200,1342316,0.0000
2019-03-15,8.8400,9.2800,8.7600,9.1600,9.1600,1516924,0.0000
2019-03-08,8.5900,8.8500,8.2500,8.7800,8.7800,2233163,0.0000
2019-03-01,8.5000,9.0300,8.1400,8.5600,8.5600,3158539,0.0000
2019-02-22,7.7500,8.5000,7.6300,8.4800,8.4800,1522246,0.0000
2019-02-15,7.7300,7.8000,7.2500,7.7500,7.7500,1805672,0.0000
2019-02-08,7.6500,7.8700,7.5600,7.7000,7.7000,951872,0.0000
2019-02-01,7.4200,7.8300,7.3200,7.6900,7.6900,1227789,0.0000
2019-01-25,7.4600,7.7000,7.3000,7.5400,7.5400,1073688,0.0000
2019-01-18,6.8300,7.6300,6.7101,7.5400,7.5400,1824839,0.0000
2019-01-11,5.8500,6.9300,5.8500,6.9000,6.9000,1331065,0.0000
2019-01-04,5.4400,5.9400,5.2100,5.8600,5.8600,836065,0.0000
2018-12-28,5.2800,5.5300,5.1500,5.4500,5.4500,1161061,0.0000
2018-12-21,5.6800,5.7900,5.2000,5.3000,5.3000,2033788,0.0000
2018-12-14,6.2300,6.2700,5.6300,5.6600,5.6600,1753890,0.0000
2018-12-07,6.4300,6.5300,5.9600,6.2600,6.2600,1137933,0.0000
2018-11-30,6.2200,6.5000,5.5600,6.3800,6.3800,1452448,0.0000
2018-11-23,5.9500,6.2550,5.7500,6.2000,6.2000,934398,0.0000
2018-11-16,6.5200,6.5200,6.0000,6.0700,6.0700,2777818,0.0000
2018-11-09,6.6600,7.1000,6.0200,6.5500,6.5500,1452526,0.0000
2018-11-02,7.2000,7.2900,6.0400,6.7000,6.7000,1725776,0.0000
2018-10-26,6.5300,7.1700,6.3250,7.1000,7.1000,1350563,0.0000
2018-10-19,6.9900,7.2900,6.4400,6.5000,6.5000,1511480,0.0000
2018-10-12,7.0300,7.6100,6.9100,7.1300,7.1300,1490983,0.0000
2018-10-05,7.4700,7.6600,6.9300,6.9900,6.9900,1327108,0.0000
2018-09-28,7.9500,8.2750,7.4310,7.4600,7.4600,1931877,0.0000
2018-09-21,8.0800,8.2000,7.7700,7.9800,7.9800,2032383,0.0000
2018-09-14,7.9500,8.4300,7.7100,8.0700,8.0700,2354811,0.0000
2018-09-07,7.1900,7.9650,7.0700,7.8700,7.8700,1753389,0.0000
2018-08-31,7.6100,7.7000,7.0050,7.2900,7.2900,2287722,0.0000
2018-08-24,7.0600,7.6600,6.9750,7.4700,7.4700,1699140,0.0000
2018-08-17,7.1400,7.3000,6.8800,7.1200,7.1200,1511434,0.0000
2018-08-10,7.2200,7.4800,7.0600,7.1400,7.1400,2628259,0.0000
2018-08-03,7.5100,7.6800,6.9500,7.2600,7.2600,3125924,0.0000
2018-07-27,6.6100,7.6200,6.4000,7.4800,7.4800,4141633,0.0000
2018-07-20,6.2400,6.6300,5.9400,6.5900,6.5900,2905745,0.0000
2018-07-13,6.0500,6.5000,5.8000,6.4700,6.4700,1830160,0.0000
2018-07-06,5.0700,6.1800,4.8700,6.0300,6.0300,1944222,0.0000
2018-06-29,5.3700,5.3700,4.9500,5.0800,5.0800,1926241,0.0000
2018-06-22,5.3900,5.5100,5.2400,5.3800,5.3800,1488310,0.0000
2018-06-15,5.3500,5.6300,5.2500,5.4200,5.4200,2192379,0.0000
2018-06-08,5.2500,5.5000,5.0700,5.3800,5.3800,2446229,0.0000
2018-06-01,5.3600,5.4000,5.1100,5.1900,5.1900,1204350,0.0000
2018-05-25,5.4300,5.6100,5.1600,5.3900,5.3900,2376517,0.0000
2018-05-18,5.6700,5.7800,5.4000,5.4600,5.4600,2319895,0.0000
2018-05-11,5.8100,5.9000,5.4810,5.6700,5.6700,4340491,0.0000
2018-05-04,6.1200,6.3000,5.7300,5.8500,5.8500,3532304,0.0000
2018-04-27,6.9000,6.9100,5.5850,6.1100,6.1100,8519422,0.0000
2018-04-20,8.8100,9.1100,7.0000,7.0100,7.0100,4421584,0.0000
2018-04-13,8.6500,9.0300,8.5400,8.7500,8.7500,2424423,0.0000
2018-04-06,8.1000,8.9210,7.9650,8.6400,8.6400,3246625,0.0000
2018-03-29,8.1300,8.3950,7.9000,8.1500,8.1500,1286240,0.0000
2018-03-23,7.9000,8.4700,7.7200,8.0200,8.0200,2459344,0.0000
2018-03-16,8.0300,8.4200,7.8399,7.9300,7.9300,3094989,0.0000
2018-03-09,8.4300,8.4400,7.7000,8.0600,8.0600,3133427,0.0000
2018-03-02,8.8600,9.1600,8.1900,8.4300,8.4300,3006639,0.0000
2018-02-23,8.8400,9.3100,8.6500,8.8600,8.8600,3552059,0.0000
2018-02-16,7.7000,8.8400,7.6200,8.6800,8.6800,2091448,0.0000
2018-02-09,8.3000,8.3600,7.5000,7.7100,7.7100,2756873,0.0000
2018-02-02,8.5100,8.7200,8.2000,8.3500,8.3500,3062004,0.0000
2018-01-26,8.3200,8.5400,7.9000,8.5200,8.5200,3436581,0.0000
2018-01-19,8.2000,8.8800,8.1800,8.2800,8.2800,4019765,0.0000
2018-01-12,8.2300,8.3550,7.7100,8.0300,8.0300,3873554,0.0000
2018-01-05,8.0600,8.4650,7.9300,8.3200,8.3200,4255178,0.0000
2017-12-29,8.1700,8.2919,7.9500,8.0200,8.0200,2231364,0.0000
2017-12-22,8.8500,9.0300,8.1000,8.1900,8.1900,3434636,0.0000
2017-12-15,9.1200,9.2900,8.8000,8.8500,8.8500,4245280,0.0000
2017-12-08,9.2200,9.5000,9.0200,9.1200,9.1200,2678712,0.0000
2017-12-01,9.7300,9.8400,9.0100,9.2500,9.2500,2813605,0.0000
2017-11-24,9.7600,10.0300,9.6500,9.7300,9.7300,1462689,0.0000
2017-11-17,9.7200,9.8600,9.3100,9.8000,9.8000,2002987,0.0000
2017-11-10,10.0800,10.2200,9.6000,9.7100,9.7100,2540284,0.0000
2017-11-03,10.4700,10.6400,9.8900,10.0200,10.0200,2014486,0.0000
2017-10-27,10.4100,11.6300,10.0300,10.6600,10.6600,5260430,0.0000
2017-10-20,11.3000,11.3500,10.3700,10.4200,10.4200,2587404,0.0000
2017-10-13,11.8500,11.8500,11.2700,11.3300,11.3300,1914443,0.0000
2017-10-06,11.8700,12.3000,11.7600,11.8000,11.8000,2408910,0.0000
2017-09-29,11.8200,12.0200,11.7300,11.8700,11.8700,1719947,0.0000
2017-09-22,12.3300,12.3300,11.6200,11.8600,11.8600,1749250,0.0000
