timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-12,189.0100,190.5000,187.2700,189.6000,189.6000,3711371,0.0000
2019-04-05,183.0400,189.6000,182.1100,189.2400,189.2400,2456225,0.0000
2019-03-29,181.0300,183.4300,178.3700,181.5600,181.5600,2452748,0.0000
2019-03-22,181.6300,185.7500,179.4250,181.6700,181.6700,3159475,0.0000
2019-03-15,178.2900,183.4300,177.7500,181.6200,181.6200,3540309,0.0000
2019-03-08,181.0800,181.7399,173.8400,177.7300,177.7300,2617577,0.0000
2019-03-01,179.8100,180.7925,176.7200,180.5000,180.5000,2752223,0.0000
2019-02-22,175.1200,178.9200,174.3500,178.7900,178.7900,2221727,0.0000
2019-02-15,173.2700,176.5800,170.1000,175.4000,175.4000,3114889,0.0000
2019-02-08,170.8200,175.5500,170.5500,173.0900,173.0900,3427454,0.0000
2019-02-01,167.2900,170.9000,163.7500,170.5200,170.5200,3065861,0.0000
2019-01-25,163.6200,167.2100,161.5100,165.9600,165.9600,2229059,0.0000
2019-01-18,156.4200,165.4200,155.5600,164.4400,164.4400,3625918,0.0000
2019-01-11,149.1200,158.7350,148.9400,157.9300,157.9300,3454866,0.0000
2019-01-04,147.9200,149.8400,142.3700,148.9700,148.9700,2558904,0.0000
2018-12-28,141.4200,149.7900,138.7700,146.8800,146.8800,2981089,0.0000
2018-12-21,152.7900,154.1800,141.8850,142.4400,142.4400,8150854,0.0000
2018-12-14,153.9300,159.9800,152.4200,152.6700,152.6700,4435609,0.0000
2018-12-07,158.6600,160.7700,150.6400,153.9500,153.9500,3782701,0.0000
2018-11-30,152.2500,157.8900,149.8700,156.0600,156.0600,4076739,0.0000
2018-11-23,154.8700,158.6900,144.9373,150.3300,150.3300,2725271,0.0000
2018-11-16,159.6400,160.0400,150.6000,155.7500,155.7500,3645895,0.0000
2018-11-09,164.4500,164.8200,156.2100,160.1000,160.1000,6183966,0.0000
2018-11-02,141.4400,176.7600,133.4900,165.0200,165.0200,8435021,0.0000
2018-10-26,142.0000,144.4900,131.2800,138.6700,138.6700,5762609,0.0000
2018-10-19,143.0200,147.2000,141.0017,141.3900,141.3900,3036331,0.0000
2018-10-12,153.8400,153.8400,138.0900,143.9800,143.9800,5047277,0.0000
2018-10-05,161.0500,161.4900,152.8000,154.1300,154.1300,2981750,0.0000
2018-09-28,159.1900,161.7000,157.0100,160.1200,160.1200,4183295,0.0000
2018-09-21,163.3100,164.1900,158.8001,159.8100,159.8100,6254268,0.0000
2018-09-14,158.6900,164.0400,158.0900,163.6500,163.6500,3449427,0.0000
2018-09-07,158.7500,159.9400,154.3000,157.8000,157.8000,2686703,0.0000
2018-08-31,157.0100,160.0800,156.7192,158.6100,158.6100,3566308,0.0000
2018-08-24,151.6200,156.7100,149.8700,156.0800,156.0800,3145168,0.0000
2018-08-17,153.0100,155.1900,150.3700,150.7500,150.7500,3438690,0.0000
2018-08-10,151.1100,154.6490,150.7200,152.9200,152.9200,2959980,0.0000
2018-08-03,149.8200,151.6500,145.1300,151.0000,151.0000,3376013,0.0000
2018-07-27,149.0900,159.1078,147.6325,150.2600,150.2600,3615909,0.0000
2018-07-20,147.7700,150.1000,145.6100,149.0900,149.0900,2362824,0.0000
2018-07-13,142.7600,148.1800,141.7000,147.5800,147.5800,3045309,0.0000
2018-07-06,136.7300,142.6600,136.6300,141.9100,141.9100,1726957,0.0000
2018-06-29,138.2000,138.9000,134.8400,137.4200,137.4200,4105553,0.0000
2018-06-22,142.1500,145.5700,138.3500,138.6800,138.6800,7016822,0.0000
2018-06-15,137.8800,142.4300,137.2000,142.2700,142.2700,5628921,0.0000
2018-06-08,132.8300,138.2600,132.2500,137.8700,137.8700,4069452,0.0000
2018-06-01,127.7100,133.0800,127.1800,132.5700,132.5700,2553633,0.0000
2018-05-25,128.0300,129.0000,126.5200,128.5100,128.5100,3463591,0.0000
2018-05-18,125.8400,128.3500,125.1300,127.6700,127.6700,8216048,0.0000
2018-05-11,122.5400,125.8100,121.2400,125.6500,125.6500,3768660,0.0000
2018-05-04,118.8800,122.5850,116.3100,122.3100,122.3100,4344614,0.0000
2018-04-27,124.9500,125.4000,116.1500,118.3000,118.3000,7799534,0.0000
2018-04-20,122.8000,127.1550,122.7800,124.7900,124.7900,6151727,0.0000
2018-04-13,118.1200,123.2600,118.1200,122.0000,122.0000,4756754,0.0000
2018-04-06,118.1700,120.3200,114.0110,117.6900,117.6900,5430106,0.0000
2018-03-29,121.3100,122.8100,115.6600,118.5600,118.5600,5171339,0.0000
2018-03-23,125.1400,126.5000,119.4300,119.4800,119.4800,6034872,0.0000
2018-03-16,120.7200,127.2400,119.8350,125.9200,125.9200,7907687,0.0000
2018-03-09,115.1000,120.9100,114.8800,120.4600,120.4600,4413357,0.0000
2018-03-02,118.4600,118.9900,113.0400,115.7800,115.7800,3946831,0.0000
2018-02-23,119.7000,120.0000,114.5300,117.6400,117.6400,4744303,0.0000
2018-02-16,109.5600,121.6100,109.2000,120.5500,120.5500,8722293,0.0000
2018-02-09,111.9000,113.2400,105.4000,109.0900,109.0900,6054043,0.0000
2018-02-02,114.8900,116.3400,111.5100,112.5100,112.5100,3899821,0.0000
2018-01-26,114.4800,116.6350,114.2500,115.3100,115.3100,3169612,0.0000
2018-01-19,113.7500,115.2600,112.5000,114.4800,114.4800,2803821,0.0000
2018-01-12,112.4400,114.7900,111.6000,113.6100,113.6100,3467763,0.0000
2018-01-05,114.6900,115.1300,108.5500,113.0000,113.0000,3789780,0.0000
2017-12-29,113.3500,116.4300,112.5100,114.4400,114.4400,2042593,0.0000
2017-12-22,115.9000,117.1300,113.1601,113.9900,113.9900,3480422,0.0000
2017-12-15,113.2300,115.4600,113.2300,115.0300,115.0300,3761311,0.0000
2017-12-08,115.3600,115.5000,111.6100,112.9800,112.9800,4791971,0.0000
2017-12-01,117.2500,118.2800,112.9900,114.9600,114.9600,6539629,0.0000
2017-11-24,114.0500,117.5000,113.9200,117.2400,117.2400,3058521,0.0000
2017-11-17,109.6600,114.0000,109.5000,113.7500,113.7500,5140022,0.0000
2017-11-10,108.5300,110.1400,108.2500,109.7500,109.7500,3087535,0.0000
2017-11-03,108.8000,110.0900,106.8400,108.4900,108.4900,4033508,0.0000
2017-10-27,109.0800,109.3900,106.4000,109.0700,109.0700,4213684,0.0000
2017-10-20,108.5000,109.6900,107.3800,108.9400,108.9400,3552869,0.0000
2017-10-13,110.0600,110.8200,107.6200,108.2200,108.2200,4574176,0.0000
2017-10-06,106.7600,109.9700,106.1700,109.9200,109.9200,4646168,0.0000
2017-09-29,104.3700,106.8100,102.8400,106.3900,106.3900,2904170,0.0000
2017-09-22,104.6900,106.2200,104.1800,104.5800,104.5800,3014500,0.0000
2017-09-15,103.8000,105.0000,102.3400,104.3900,104.3900,3412651,0.0000
2017-09-08,103.6500,104.3000,102.0600,103.3100,103.3100,2189698,0.0000
2017-09-01,101.9300,104.2500,101.2700,103.9400,103.9400,3461209,0.0000
2017-08-25,98.1100,102.1200,97.9600,101.4400,101.4400,2448186,0.0000
2017-08-18,98.6900,99.7500,97.3800,98.2000,98.2000,2277710,0.0000
2017-08-11,99.2500,99.8600,97.1500,97.9500,97.9500,3194814,0.0000
2017-08-04,102.6400,102.7700,98.9600,99.3100,99.3100,4046207,0.0000
2017-07-28,98.8700,103.7900,98.8700,102.5000,102.5000,3771338,0.0000
2017-07-21,96.9900,99.4700,96.7800,98.9500,98.9500,2906698,0.0000
2017-07-14,94.4800,97.5000,94.3100,96.9200,96.9200,4247862,0.0000
2017-07-07,93.5000,95.7600,92.9100,94.4200,94.4200,4343821,0.0000
2017-06-30,94.1700,94.9300,92.1300,92.9600,92.9600,4426314,0.0000
2017-06-23,92.9900,94.2600,92.5200,93.9600,93.9600,2288410,0.0000
2017-06-16,91.8400,92.6900,90.4900,92.4600,92.4600,4586562,0.0000
2017-06-09,92.4500,93.7800,91.1300,92.3300,92.3300,3064476,0.0000
2017-06-02,90.1500,92.7700,89.9000,92.5500,92.5500,3059753,0.0000
2017-05-26,89.4100,90.8900,89.0100,90.1400,90.1400,3371807,0.0000
2017-05-19,89.2000,90.5100,87.5500,89.1900,89.1900,4165260,0.0000
2017-05-12,89.6300,90.5800,88.6100,89.1100,89.1100,3843813,0.0000
2017-05-05,89.2000,91.2000,88.8300,89.6000,89.6000,4183132,0.0000
2017-04-28,89.2700,91.8000,88.0800,88.9200,88.9200,4775897,0.0000
2017-04-21,88.0300,89.8900,88.0300,88.4500,88.4500,3705806,0.0000
2017-04-13,87.6100,88.9300,87.0200,87.6800,87.6800,3034923,0.0000
2017-04-07,87.4900,88.7600,87.0100,87.2600,87.2600,3860676,0.0000
2017-03-31,86.3900,87.6600,86.1600,87.1100,87.1100,2687259,0.0000
2017-03-24,86.4100,88.0800,86.1700,87.1900,87.1900,3750486,0.0000
2017-03-17,85.6200,87.5800,85.6200,86.2500,86.2500,4512641,0.0000
2017-03-10,83.8100,85.5700,83.4400,85.4800,85.4800,4835794,0.0000
2017-03-03,82.9500,84.6400,81.9600,84.0400,84.0400,5283158,0.0000
2017-02-24,82.1600,83.5300,81.7600,83.3100,83.3100,3517516,0.0000
2017-02-17,82.9600,83.9900,81.5800,82.3000,82.3000,9692391,0.0000
2017-02-10,81.9300,85.5200,81.1700,83.1400,83.1400,4645632,0.0000
2017-02-03,80.7700,82.6300,79.2100,82.1100,82.1100,3854343,0.0000
2017-01-27,80.2500,82.0000,79.9600,81.2200,81.2200,2601137,0.0000
2017-01-20,80.3800,81.1400,79.7800,80.4200,80.4200,2171837,0.0000
2017-01-13,80.6800,81.9200,78.7200,80.8000,80.8000,4218560,0.0000
2017-01-06,76.4900,81.0500,76.4500,80.8500,80.8500,2875672,0.0000
2016-12-30,76.7700,77.4600,75.7100,76.0700,76.0700,2008445,0.0000
2016-12-23,78.1300,79.7600,75.8700,76.4700,76.4700,4097091,0.0000
2016-12-16,82.1600,82.2300,77.8700,77.9000,77.9000,5461324,0.0000
2016-12-09,78.5600,82.5000,78.3200,82.1300,82.1300,3765478,0.0000
2016-12-02,80.6300,81.2600,77.2400,78.3500,78.3500,3979925,0.0000
2016-11-25,80.1800,81.4900,79.3500,81.2200,81.2200,1848613,0.0000
2016-11-18,81.2300,82.2750,78.0900,80.0400,80.0400,3530600,0.0000
2016-11-11,81.1500,83.1200,79.5400,81.3600,81.3600,3857065,0.0000
2016-11-04,84.6100,84.9400,79.7300,79.7700,79.7700,5402628,0.0000
2016-10-28,81.6300,86.9810,78.8400,84.6300,84.6300,6769176,0.0000
2016-10-21,75.8000,84.1600,75.1500,81.5600,81.5600,5199375,0.0000
2016-10-14,76.5700,77.0600,74.4600,75.7100,75.7100,3090238,0.0000
2016-10-07,78.5200,79.9400,76.0100,76.3600,76.3600,4426917,0.0000
2016-09-30,77.8700,79.6500,77.4500,78.2400,78.2400,4162788,0.0000
2016-09-23,76.5100,79.4900,76.4200,78.5300,78.5300,5357731,0.0000
2016-09-16,74.6800,77.6701,74.6000,76.8800,76.8800,9140634,0.0000
2016-09-09,79.0600,79.0600,74.6800,74.8600,74.8600,5137251,0.0000
2016-09-02,75.0000,82.8800,74.0100,79.0200,79.0200,8867832,0.0000
2016-08-26,74.9000,76.1000,74.2800,75.0100,75.0100,5605724,0.0000
2016-08-19,83.1800,83.4300,74.1200,75.0500,75.0500,11692661,0.0000
2016-08-12,84.6000,85.2500,83.1201,83.2500,83.2500,3063441,0.0000
2016-08-05,86.3500,86.6000,83.7300,84.7200,84.7200,3849242,0.0000
2016-07-29,83.4100,87.1900,83.0000,86.6100,86.6100,4325609,0.0000
2016-07-22,84.0000,84.5401,82.7900,83.4700,83.4700,4534671,0.0000
2016-07-15,86.1200,86.7600,83.6300,84.0400,84.0400,4531107,0.0000
2016-07-08,85.1800,85.8300,82.4000,85.6000,85.6000,3626812,0.0000
2016-07-01,83.3600,86.4800,80.4700,85.3400,85.3400,4120692,0.0000
2016-06-24,85.0500,87.7800,83.5240,84.1800,84.1800,2891867,0.0000
2016-06-17,84.4100,85.8200,83.3700,84.3500,84.3500,3018905,0.0000
2016-06-10,84.7400,85.4500,83.8600,84.6600,84.6600,2789797,0.0000
