timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-16,117.2000,122.4850,115.1400,122.4700,122.4700,106115,0.0000
2019-04-12,109.2200,117.9900,107.4600,116.5600,116.5600,388203,0.0000
2019-04-05,98.7800,109.5600,98.5000,109.1600,109.1600,247283,0.0000
2019-03-29,96.0000,100.1700,88.7000,97.5500,97.5500,457758,0.0000
2019-03-22,100.2700,104.0800,95.3100,96.4500,96.4500,415679,0.0000
2019-03-15,98.5200,102.1150,97.8300,100.4600,100.4600,354387,0.0000
2019-03-08,103.8000,104.5900,96.3000,98.1300,98.1300,286923,0.0000
2019-03-01,105.0000,108.2900,101.7100,103.7500,103.7500,444368,0.0000
2019-02-22,99.6700,104.7500,99.3200,104.7300,104.7300,261071,0.0000
2019-02-15,92.8700,101.6400,91.3800,99.4900,99.4900,592886,0.0000
2019-02-08,90.6800,96.8200,89.5900,92.8200,92.8200,357612,0.0000
2019-02-01,89.0300,92.2300,84.7300,90.1500,90.1500,343114,0.5500
2019-01-25,93.1500,94.4500,86.7400,89.9200,89.3606,257565,0.0000
2019-01-18,78.9900,96.1300,78.7001,93.8700,93.2860,617555,0.0000
2019-01-11,81.6100,84.9000,74.2200,80.3300,79.8303,304678,0.0000
2019-01-04,79.7500,83.3200,70.0000,82.0200,81.5098,235776,0.0000
2018-12-28,72.3500,80.5800,70.0000,79.5500,79.0551,280388,0.0000
2018-12-21,80.2200,82.9300,71.5400,72.5200,72.0689,581633,0.0000
2018-12-14,83.1900,94.8299,79.0100,80.7600,80.2576,422070,0.0000
2018-12-07,95.9900,95.9900,80.1401,83.2400,82.7222,461652,0.0000
2018-11-30,97.3100,97.9500,91.1800,95.0000,94.4090,299690,0.0000
2018-11-23,102.6700,103.3700,93.8900,96.5700,95.9692,128529,0.0000
2018-11-16,103.3500,104.1200,101.0000,102.9100,102.2698,341006,0.0000
2018-11-09,100.5700,104.4500,98.9875,103.4200,102.7766,164331,0.0000
2018-11-02,100.6400,102.7200,96.2200,100.4800,99.8549,231395,0.5500
2018-10-26,108.6400,108.9000,99.6600,102.2700,101.0704,204572,0.0000
2018-10-19,109.3200,113.3900,105.2700,108.5100,107.2372,247356,0.0000
2018-10-12,113.6300,117.9500,108.0900,109.4600,108.1761,293771,0.0000
2018-10-05,113.7600,117.0800,112.7500,113.8700,112.5343,264302,0.0000
2018-09-28,121.2000,122.0250,112.9000,113.7500,112.4157,204144,0.0000
2018-09-21,121.3000,124.9000,117.2000,121.7000,120.2725,173044,0.0000
2018-09-14,120.4000,123.6000,118.3000,121.4500,120.0254,126677,0.0000
2018-09-07,128.5000,129.7000,114.5600,119.8000,118.3948,164293,0.0000
2018-08-31,128.9500,130.5500,127.2500,129.0000,127.4869,171471,0.0000
2018-08-24,130.6500,132.3500,128.1000,128.5500,127.0421,193361,0.0000
2018-08-17,130.8000,132.5500,128.0500,130.7000,129.1669,201281,0.0000
2018-08-10,127.4500,132.8000,126.2875,129.5500,128.0304,202826,0.0000
2018-08-03,129.6500,134.2510,124.5000,127.5000,126.0045,296912,0.4500
2018-07-27,128.9500,134.1000,124.6000,129.4000,127.4420,330043,0.0000
2018-07-20,131.5000,133.6625,127.3500,129.0500,127.0973,332002,0.0000
