timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-15,6.3700,6.4100,6.1800,6.3200,6.3200,515584,0.0000
2019-04-12,7.3300,7.3300,6.3000,6.4500,6.4500,1891181,0.0000
2019-04-05,7.0800,7.4500,6.9900,7.2400,7.2400,1959152,0.0000
2019-03-29,7.9900,8.0874,6.9500,7.0400,7.0400,2978743,0.0000
2019-03-22,6.6000,8.2600,6.4892,7.8800,7.8800,4046246,0.0000
2019-03-15,6.8500,7.0750,6.2200,6.6100,6.6100,2822715,0.0000
2019-03-08,7.3800,7.4500,6.6500,6.8500,6.8500,2063628,0.0000
2019-03-01,5.5600,7.5700,5.4500,7.3400,7.3400,3927917,0.0000
2019-02-22,5.4500,5.7000,5.0100,5.5100,5.5100,1603933,0.0000
2019-02-15,5.0900,5.7800,5.0000,5.4800,5.4800,2114556,0.0000
2019-02-08,4.5500,5.7013,4.5075,5.0900,5.0900,2516642,0.0000
2019-02-01,5.1000,5.1000,4.3800,4.5800,4.5800,1767418,0.0000
2019-01-25,4.9000,5.2287,4.5000,5.1200,5.1200,1551935,0.0000
2019-01-18,5.1400,5.2900,4.6300,4.8900,4.8900,1695210,0.0000
2019-01-11,4.8800,5.6100,4.6300,5.2200,5.2200,2201474,0.0000
2019-01-04,4.6600,5.1950,4.5500,4.9200,4.9200,2170341,0.0000
2018-12-28,4.5700,5.6500,4.2700,4.6500,4.6500,3067626,0.0000
2018-12-21,5.2600,5.5300,4.5800,4.6200,4.6200,1588542,0.0000
2018-12-14,6.3700,6.5000,5.1400,5.2800,5.2800,2729169,0.0000
2018-12-07,7.8900,8.1500,6.3200,6.4200,6.4200,1928225,0.0000
2018-11-30,7.3500,7.8800,6.8500,7.8000,7.8000,1813570,0.0000
2018-11-23,7.9400,8.1300,7.2500,7.2500,7.2500,1325802,0.0000
2018-11-16,6.6300,8.8500,6.5400,7.9900,7.9900,3014698,0.0000
2018-11-09,7.8100,7.8800,6.1601,6.7400,6.7400,4046689,0.0000
2018-11-02,7.6500,8.2600,7.6100,7.8300,7.8300,2011127,0.0000
2018-10-26,9.0800,9.4600,7.2801,7.6000,7.6000,2558517,0.0000
2018-10-19,9.5200,10.4100,8.9250,9.0800,9.0800,2818528,0.0000
2018-10-12,9.1000,10.2300,8.6600,9.5500,9.5500,3233281,0.0000
2018-10-05,10.0000,10.2000,8.9400,9.1700,9.1700,4181702,0.0000
2018-09-28,11.2000,11.7000,9.7000,10.0000,10.0000,4416986,0.0000
2018-09-21,12.6000,12.6500,11.0500,11.2000,11.2000,5087138,0.0000
2018-09-14,12.1500,13.8750,12.1500,12.5500,12.5500,4604122,0.0000
2018-09-07,12.7500,13.3500,11.3027,12.1500,12.1500,2741366,0.0000
2018-08-31,13.7500,13.9500,12.3000,12.8000,12.8000,2360591,0.0000
2018-08-24,12.9000,13.8500,12.4500,13.6500,13.6500,3143197,0.0000
2018-08-17,11.9500,13.5000,11.7000,12.7500,12.7500,6064109,0.0000
2018-08-10,8.6000,11.9500,8.0500,11.8500,11.8500,5183494,0.0000
2018-08-03,7.9000,8.7000,7.8000,8.6500,8.6500,1602870,0.0000
2018-07-27,7.4000,7.9500,7.1500,7.8500,7.8500,1893394,0.0000
2018-07-20,6.9000,7.5000,6.5045,7.3500,7.3500,1284315,0.0000
2018-07-13,7.1500,7.2000,6.8500,6.9000,6.9000,1244318,0.0000
2018-07-06,6.8000,7.1500,6.7000,7.1500,7.1500,895507,0.0000
2018-06-29,7.3000,7.7000,6.6500,6.9500,6.9500,2207253,0.0000
2018-06-22,7.8000,8.0500,7.1000,7.2000,7.2000,5805598,0.0000
2018-06-15,7.0000,7.8000,6.9975,7.7500,7.7500,3298051,0.0000
2018-06-08,5.2000,7.1500,5.2000,7.0500,7.0500,3404948,0.0000
2018-06-01,5.2500,5.5500,5.0500,5.2000,5.2000,1611239,0.0000
2018-05-25,5.0500,5.3250,4.9000,5.2500,5.2500,1729230,0.0000
2018-05-18,4.9500,5.1500,4.9000,5.0000,5.0000,2305308,0.0000
2018-05-11,4.6000,5.2000,4.4000,4.9500,4.9500,2921601,0.0000
2018-05-04,5.0500,5.1000,4.5000,4.5500,4.5500,1689783,0.0000
2018-04-27,4.9500,5.0999,4.7000,5.0500,5.0500,2886231,0.0000
2018-04-20,4.2500,4.9500,4.2000,4.8500,4.8500,1788846,0.0000
2018-04-13,4.1000,4.5500,3.9500,4.2500,4.2500,1650476,0.0000
2018-04-06,4.3000,4.4000,3.8000,4.0500,4.0500,2219147,0.0000
2018-03-29,4.0500,4.5500,3.8500,4.3500,4.3500,2412502,0.0000
2018-03-23,4.6500,4.6500,3.8500,3.9000,3.9000,1970074,0.0000
2018-03-16,4.5000,4.7000,4.3000,4.6500,4.6500,3236439,0.0000
2018-03-09,3.9500,4.8000,3.9000,4.5000,4.5000,2843133,0.0000
2018-03-02,4.2000,4.6000,3.5500,4.0000,4.0000,3553512,0.0000
2018-02-23,4.2500,4.4500,3.8500,4.1500,4.1500,1542638,0.0000
2018-02-16,3.7500,4.6000,3.6500,4.2500,4.2500,2444825,0.0000
2018-02-09,4.0500,4.1500,3.5000,3.7500,3.7500,4638770,0.0000
2018-02-02,4.5500,4.6500,4.0000,4.0000,4.0000,3412593,0.0000
2018-01-26,5.0500,5.3500,4.3500,4.6500,4.6500,3134006,0.0000
2018-01-19,4.9500,5.3500,4.6000,5.0500,5.0500,4039099,0.0000
2018-01-12,5.3000,5.3500,4.8500,4.9000,4.9000,4141995,0.0000
2018-01-05,4.4500,5.4500,4.2000,5.3000,5.3000,3773868,0.0000
2017-12-29,4.1000,4.5000,4.1000,4.4000,4.4000,2048695,0.0000
2017-12-22,4.1510,4.4000,4.0250,4.1000,4.1000,2118463,0.0000
2017-12-15,3.9000,4.1500,3.8500,4.0500,4.0500,3284844,0.0000
2017-12-08,3.6500,4.0000,3.5500,3.8500,3.8500,2454390,0.0000
2017-12-01,3.8000,4.3000,3.5500,3.6500,3.6500,3790110,0.0000
2017-11-24,4.2500,4.2800,3.7500,3.8000,3.8000,2041244,0.0000
2017-11-17,3.4500,4.2000,3.4500,4.2000,4.2000,3259758,0.0000
2017-11-10,4.2500,4.5000,2.9500,3.5000,3.5000,5365112,0.0000
2017-11-03,4.8500,4.9000,4.2500,4.3000,4.3000,2027746,0.0000
2017-10-27,5.3500,5.4000,4.5000,4.8500,4.8500,2217409,0.0000
2017-10-20,5.0000,5.5500,4.9700,5.3500,5.3500,2738488,0.0000
2017-10-13,5.2500,5.4500,4.9500,5.0000,5.0000,2287413,0.0000
2017-10-06,5.7500,5.7500,5.2000,5.3000,5.3000,3536532,0.0000
2017-09-29,5.4000,5.5500,5.1500,5.3500,5.3500,2995306,0.0000
2017-09-22,6.0500,6.0500,5.1500,5.3500,5.3500,2988951,0.0000
2017-09-15,5.4000,6.0500,5.3500,6.0500,6.0500,3775842,0.0000
2017-09-08,5.3500,5.9500,4.9500,5.4000,5.4000,2736396,0.0000
2017-09-01,5.5500,5.7000,4.9500,5.3500,5.3500,3825085,0.0000
2017-08-25,5.9000,5.9500,5.3000,5.5000,5.5000,3999783,0.0000
