timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-04-17,1.6800,1.9000,1.6800,1.9000,1.9000,76197,0.0000
2019-04-12,1.6000,1.7100,1.5000,1.7100,1.7100,105390,0.0000
2019-04-05,1.5400,1.6600,1.5118,1.6300,1.6300,92733,0.0000
2019-03-29,1.8300,1.8400,1.4601,1.4900,1.4900,204018,0.0000
2019-03-22,1.7000,1.9500,1.6400,1.9200,1.9200,88932,0.0000
2019-03-15,1.9200,1.9256,1.5200,1.6800,1.6800,193721,0.0000
2019-03-08,2.1000,2.1459,1.8000,1.8473,1.8473,174350,0.0000
2019-03-01,1.8600,2.1500,1.7611,2.0400,2.0400,213925,0.0000
2019-02-22,1.8300,2.1765,1.8000,1.8600,1.8600,475536,0.0000
2019-02-15,1.6300,1.9361,1.6200,1.8200,1.8200,274452,0.0000
2019-02-08,1.8900,1.8900,1.6200,1.6400,1.6400,201499,0.0000
2019-02-01,1.1400,1.9000,1.1400,1.8000,1.8000,998540,0.0000
2019-01-25,1.0500,1.1398,0.9499,1.1000,1.1000,373048,0.0000
2019-01-18,1.0800,1.1000,0.9700,1.0110,1.0110,411720,0.0000
2019-01-11,1.0600,1.2100,1.0000,1.0500,1.0500,374524,0.0000
2019-01-04,0.8500,1.2000,0.8018,1.0600,1.0600,711904,0.0000
2018-12-28,0.9500,1.1599,0.8000,0.8600,0.8600,513817,0.0000
2018-12-21,1.6100,1.7800,0.7200,0.9500,0.9500,542972,0.0000
2018-12-14,2.2500,2.5500,1.7200,1.9400,1.9400,264033,0.0000
2018-12-07,2.8000,2.8600,2.2500,2.2500,2.2500,119760,0.0000
2018-11-30,2.6000,3.0100,2.4800,2.7900,2.7900,150641,0.0000
2018-11-23,2.9000,3.0750,2.6000,2.6000,2.6000,124946,0.0000
2018-11-16,3.3800,3.4999,2.7100,2.9000,2.9000,147307,0.0000
2018-11-09,3.6100,3.8000,3.3800,3.3800,3.3800,79164,0.0000
2018-11-02,3.3000,3.8415,3.1500,3.6200,3.6200,173550,0.0000
2018-10-26,3.6100,3.7771,3.2800,3.3600,3.3600,225104,0.0000
2018-10-19,3.9600,4.0700,3.6500,3.6500,3.6500,87580,0.0000
2018-10-12,4.2300,4.4900,3.8300,4.0100,4.0100,126391,0.0000
2018-10-05,4.2400,4.5400,4.2000,4.3100,4.3100,95220,0.0000
2018-09-28,4.1400,4.4500,3.8570,4.2800,4.2800,182153,0.0000
2018-09-21,4.4000,4.4000,3.9100,4.2200,4.2200,255494,0.0000
2018-09-14,5.1200,5.1200,4.3100,4.4200,4.4200,242599,0.0000
2018-09-07,5.4800,6.3000,4.9100,5.0300,5.0300,338906,0.0000
2018-08-31,5.4700,5.5900,5.2411,5.5100,5.5100,191112,0.0000
2018-08-24,4.7600,5.5500,4.7600,5.3800,5.3800,266614,0.0000
2018-08-17,4.9200,4.9200,4.6900,4.8100,4.8100,257041,0.0000
2018-08-10,5.1000,5.1000,4.8000,4.9100,4.9100,187056,0.0000
